Number,Case,Acceleration
1,1,-25.20409
1,1,-2.466087
1,1,-2.697164
1,1,-9.947266
1,2,-4.780741
1,2,-4.564431
1,2,-4.140747
1,2,-3.119978
1,2,-3.18518
1,2,-1.344281
1,2,-3.869919
1,2,-3.373064
1,3,-3.139663
1,3,-8.685133
1,3,-5.951041
1,3,-3.080426
1,3,-1.376246
1,3,-1.397279
1,3,-1.695227
1,3,-4.826477
1,3,-0.5220726
1,4,-6.879065
1,4,-4.637279
1,4,-7.995355
1,4,-5.728216
1,4,-5.242199
1,4,-3.416951
1,4,-7.455348
1,5,-0.4489925
1,5,-2.487331
1,5,-4.548221
1,5,-0.02176799
1,5,-5.537308
1,5,-1.259447
1,5,-3.248855
1,5,-1.847502
1,5,-4.28172
1,5,-4.782488
1,6,-16.26044
1,6,-3.489213
1,6,-10.67378
1,6,-0.3085647
1,6,-7.39109
1,6,-1.626438
1,7,-6.762669
1,7,-0.8236334
1,7,-8.579841
1,7,-5.283041
1,7,-1.926177
1,7,-5.231959
1,7,-2.112445
1,7,-8.136146
1,8,-10.22457
1,8,-6.157104
1,8,-5.83397
1,8,-10.16533
1,8,-11.14802
1,9,-9.799764
1,9,-7.424542
1,9,-4.087389
1,9,-2.303362
1,9,-16.95562
1,10,-15.76271
1,10,-13.09786
1,10,-2.166112
1,10,-3.519813
1,10,-3.254217
1,10,-6.171263
1,11,-20.93073
1,11,-6.541441
1,11,-22.4586
1,11,-4.447189
1,11,-20.04184
2,1,-9.638266
2,1,-0.09202734
2,1,-6.404506
2,1,-2.138068
2,1,-0.1364152
2,1,-1.68488
2,1,-2.457567
2,1,-0.9317067
2,1,-0.09187106
2,1,-0.8357728
2,1,-0.469232
2,1,-2.426433
2,1,-0.007948512
2,2,-11.02933
2,2,-0.09429008
2,2,-12.57776
2,2,-15.19861
2,2,-15.29207
2,2,-3.84337
2,2,-4.88112
2,2,-1.601089
2,2,-2.338984
2,2,-0.7391396
2,2,-2.066132
2,2,-0.03410503
2,2,-4.739896
2,2,-1.72847
2,2,-5.80794
2,3,-1.423047
2,3,-5.367446
2,3,-2.571135
2,3,-0.5517809
2,3,-0.1335474
2,3,-0.2978707
2,3,-2.131344
2,3,-3.688569
2,3,-0.7413866
2,3,-0.05231872
2,3,-1.453748
2,3,-1.368771
2,3,-0.4626028
2,3,-0.8181146
2,3,-1.394673
2,3,-0.5532405
2,3,-5.519256
2,4,-5.016394
2,4,-2.354399
2,4,-0.8143731
2,4,-0.4436527
2,4,-1.043798
2,4,-0.1819989
2,4,-1.806349
2,4,-0.07538442
2,4,-1.445442
2,4,-2.462311
2,4,-0.02167644
2,4,-0.1182206
2,4,-1.100462
2,4,-1.044895
2,4,-2.731546
2,4,-2.886603
2,5,-4.723145
2,5,-7.879722
2,5,-3.262413
2,5,-0.5174277
2,5,-2.098027
2,5,-0.8007468
2,5,-1.23781
2,5,-0.6533229
2,5,-0.9473494
2,5,-1.062389
2,5,-1.193066
2,5,-3.536252
2,5,-0.1205543
2,5,-2.999352
2,6,-5.794187
2,6,-0.03234521
2,6,-4.698948
2,6,-2.763473
2,6,-0.09506734
2,6,-0.4943458
2,6,-1.914851
2,6,-0.2794558
2,6,-0.01731142
2,6,-1.014001
2,6,-0.7394062
2,6,-0.9271186
2,6,-0.741224
2,6,-1.41416
2,6,-1.306004
2,6,-4.880309
2,6,-0.2932966
2,7,-3.035095
2,7,-4.396553
2,7,-3.051432
2,7,-0.3278379
2,7,-2.86389
2,7,-2.376508
2,7,-0.5167773
2,7,-0.9970138
2,7,-0.6510988
2,7,-0.914437
2,7,-1.069813
2,7,-0.8691784
2,7,-0.2542997
2,7,-0.6423207
2,7,-0.0689948
2,7,-0.9551294
2,7,-0.48685
2,7,-0.2673323
2,7,-0.04394357
2,7,-0.3685814
2,7,-1.416664
2,7,-2.505665
2,7,-5.358881
2,8,-5.15742
2,8,-4.400621
2,8,-3.988982
2,8,-5.915143
2,8,-3.736573
2,8,-0.4975568
2,8,-0.5741965
2,8,-0.06287698
2,8,-0.5589592
2,8,-0.6145365
2,8,-2.569561
2,8,-0.7070733
2,8,-0.9033464
2,8,-0.468716
2,8,-1.799874
2,8,-0.2418928
2,8,-0.7498997
2,8,-2.775113
2,8,-0.4274877
2,8,-0.0604257
2,8,-2.740312
2,8,-5.972318
2,9,-4.839328
2,9,-1.286762
2,9,-0.1639165
2,9,-6.223831
2,9,-0.5231642
2,9,-4.315297
2,9,-1.018403
2,9,-0.1235982
2,9,-0.1355959
2,9,-3.035919
2,9,-0.4572466
2,9,-0.6581668
2,9,-0.8217337
2,9,-1.756756
2,9,-0.8868026
2,9,-3.370867
2,9,-0.7900332
2,9,-2.711334
2,9,-7.158653
2,10,-1.876452
2,10,-8.064122
2,10,-0.03558025
2,10,-5.039114
2,10,-4.471381
2,10,-2.579024
2,10,-0.2471689
2,10,-0.2199354
2,10,-0.7832789
2,10,-0.9132658
2,10,-0.1248742
2,10,-1.525031
2,10,-2.690158
2,10,-0.03933758
2,10,-4.621509
3,1,-9.013506
3,1,-0.3489047
3,1,-4.437674
3,1,-2.925527
3,1,-7.138167
3,1,-2.987985
3,1,-3.219019
3,1,-1.866767
3,1,-1.1564
3,1,-1.929149
3,1,-0.1590285
3,2,-0.8213446
3,2,-2.968668
3,2,-3.493296
3,2,-2.404041
3,2,-1.39616
3,2,-0.9013008
3,2,-0.1371618
3,2,-1.637393
3,2,-2.799377
3,2,-3.097688
3,3,-10.14825
3,3,-0.4226848
3,3,-3.354386
3,3,-2.202623
3,3,-2.126715
3,3,-1.3047
3,3,-1.7553
3,3,-2.121579
3,3,-6.151631
3,3,-3.712432
3,3,-5.118038
3,4,-8.381201
3,4,-8.81649
3,4,-2.727394
3,4,-6.674115
3,4,-2.895581
3,4,-1.857202
3,4,-2.021332
3,4,-2.828177
3,4,-2.647734
3,4,-0.2086427
3,4,-6.692699
3,5,-1.096089
3,5,-3.101888
3,5,-0.6480097
3,5,-0.5126112
3,5,-1.066477
3,5,-0.04271153
3,5,-2.212333
3,5,-1.09616
3,5,-1.878573
3,5,-0.0652751
3,5,-1.387475
3,6,-0.09877086
3,6,-1.216576
3,6,-4.75349
3,6,-3.982374
3,6,-0.9861279
3,6,-0.1308779
3,6,-3.3681
3,6,-1.967107
3,6,-1.244132
3,6,-3.911792
3,7,-8.9922
3,7,-5.922541
3,7,-2.267529
3,7,-1.448076
3,7,-0.04861495
3,7,-1.120069
3,7,-1.289049
3,7,-0.1114651
3,7,-0.7895206
3,7,-4.481579
3,8,-10.01037
3,8,-7.693422
3,8,-7.141066
3,8,-7.925079
3,8,-2.8593
3,8,-3.774318
3,8,-0.04968625
3,8,-2.28944
3,9,-7.860625
3,9,-3.774922
3,9,-3.210818
3,9,-0.844682
3,9,-2.741206
3,9,-0.02859961
3,9,-0.7360978
3,9,-0.05137268
3,9,-1.636729
3,9,-2.500221
3,10,-14.25403
3,10,-0.2917752
3,10,-11.81254
3,10,-8.757808
3,10,-3.507687
3,10,-1.078279
3,10,-3.048862
3,10,-0.2277252
3,10,-1.441237
3,10,-2.994467
3,10,-6.55698
3,10,-0.07591397
4,2,-6.738923
4,2,-3.817353
4,2,-1.747122
4,2,-0.981882
4,2,-0.4001347
4,2,-3.179861
4,2,-0.998731
4,2,-0.03831722
4,2,-4.436126
4,2,-0.09867437
4,2,-1.009028
4,2,-1.743083
4,2,-0.1180209
4,3,-0.3178239
4,3,-0.9573042
4,3,-6.20155
4,3,-5.662899
4,3,-2.48521
4,3,-1.451959
4,3,-1.278272
4,3,-2.315491
4,3,-1.560782
4,3,-0.09895042
4,3,-7.41705
4,4,-0.6998956
4,4,-5.482242
4,4,-7.37606
