Number,Case,Min,Mean,Max
1,1,0.06371493,0.24658492375,0.6710618
1,2,0.02028598,0.1108178675,0.2643337
1,3,0.03427652,0.15143756500000002,0.3240539
1,4,0.02303975,0.13226393166666667,0.3057925
1,5,0.02388288,0.11542292,0.2811969
1,6,0.0734123,0.179567679,0.2943713
1,7,0.04459682,0.1307563527272727,0.2237047
1,8,0.0544804,0.23825342000000002,0.5239954
1,9,0.06830298,0.22038144555555558,0.5135359
1,10,0.06230561,0.19981384357142856,0.4474371
1,11,0.1277715,0.35321697500000004,0.6880635
2,1,0.01347727,0.08066802964285714,0.2269347
2,2,0.01415169,0.11680928387096773,0.3463051
2,3,0.004427193,0.06169029754054054,0.2097362
2,4,0.008527255,0.0464526675625,0.1241817
2,5,0.006000198,0.04814998448484849,0.1734923
2,6,0.004064034,0.0509854033030303,0.1768622
2,7,0.004348811,0.049478268575,0.1651264
2,8,0.002832809,0.045722308775,0.1727331
2,9,0.009601102,0.07251294194594596,0.2451048
2,10,0.0163555,0.07699381370370371,0.2176776
3,1,0.009034836,0.10811929072727272,0.3403943
3,2,0.02871551,0.1133725605263158,0.3271648
3,3,0.02370189,0.11700607499999999,0.2697317
3,4,0.0126147,0.09485666095238095,0.2600973
3,5,0.00808931,0.060945396363636356,0.2042732
3,6,0.02218752,0.14094820272727276,0.4602785
3,7,0.00861035,0.09275989058823529,0.2966368
3,8,0.03718342,0.136247509,0.3518027
3,9,0.01502376,0.10024692,0.3127248
3,10,0.01323743,0.1488019812,0.537982
4,2,0.02120606,0.08445108791666667,0.1838081
4,3,0.02554733,0.13043891352941173,0.383601
4,4,0.008697507,0.20019027036842105,0.8042037
4,5,0.02075963,0.13249181833333334,0.4055229
4,6,0.01075429,0.06487652457142858,0.1778053
4,7,0.007812408,0.0695684006,0.1943092
4,8,0.01714042,0.15794206227272728,0.4032353
4,9,0.01817007,0.12432933857142858,0.3020485
4,10,0.01263003,0.07221334000000001,0.2093878
4,11,0.1628994,0.22561773333333335,0.3025019
4,12,0.02767914,0.1670108407692308,0.33158
4,13,0.002975201,0.0656694605925926,0.1861331
4,14,0.01465212,0.0388085092,0.07450932
4,15,0.009474616,0.04487885319999999,0.1190583
