Number,Case,Velocity
1,1,0.6710618
1,1,0.16698
1,1,0.1176582
1,1,0.06371493
1,1,0.06394726
1,1,0.3845921
1,1,0.1856468
1,1,0.3190783
1,2,0.173296
1,2,0.182898
1,2,0.08728319
1,2,0.1920665
1,2,0.1007779
1,2,0.1923651
1,2,0.1095502
1,2,0.0471506
1,2,0.1015167
1,2,0.03781314
1,2,0.04027993
1,2,0.02028598
1,2,0.05628945
1,2,0.1104088
1,2,0.08352318
1,2,0.1495538
1,2,0.07215543
1,2,0.1311355
1,2,0.06367425
1,2,0.2643337
1,3,0.2175525
1,3,0.1547592
1,3,0.3240539
1,3,0.1503513
1,3,0.2272654
1,3,0.1082446
1,3,0.1198343
1,3,0.05822582
1,3,0.08974703
1,3,0.0622221
1,3,0.03427652
1,3,0.108832
1,3,0.07492749
1,3,0.1789023
1,3,0.08237281
1,3,0.1638806
1,3,0.2904349
1,3,0.2799934
1,4,0.1515815
1,4,0.1731427
1,4,0.18793
1,4,0.1925941
1,4,0.2226809
1,4,0.1299353
1,4,0.2274075
1,4,0.06750043
1,4,0.1376041
1,4,0.02303975
1,4,0.02437779
1,4,0.07427209
1,4,0.06961685
1,4,0.1381635
1,4,0.03331949
1,4,0.05339227
1,4,0.08127783
1,4,0.135427
1,4,0.067088
1,4,0.1109475
1,4,0.2168011
1,4,0.06769416
1,4,0.282748
1,4,0.3057925
1,5,0.2713595
1,5,0.2811969
1,5,0.1163091
1,5,0.1073292
1,5,0.05758264
1,5,0.1343179
1,5,0.04335351
1,5,0.04291815
1,5,0.1594594
1,5,0.04871324
1,5,0.09341549
1,5,0.06822655
1,5,0.08885998
1,5,0.02388288
1,5,0.08404914
1,5,0.0470991
1,5,0.07860462
1,5,0.1822818
1,5,0.09664742
1,5,0.1738415
1,5,0.07819172
1,5,0.2616645
1,6,0.2139055
1,6,0.1441212
1,6,0.2930592
1,6,0.07958359
1,6,0.0734123
1,6,0.1712002
1,6,0.2943713
1,6,0.1465495
1,6,0.1140208
1,6,0.2654532
1,7,0.1480437
1,7,0.1315711
1,7,0.1115313
1,7,0.2237047
1,7,0.1180439
1,7,0.07952036
1,7,0.149236
1,7,0.04459682
1,7,0.1560118
1,7,0.1137629
1,7,0.1622973
1,8,0.4956532
1,8,0.2911619
1,8,0.1680198
1,8,0.2317406
1,8,0.1150612
1,8,0.257787
1,8,0.0544804
1,8,0.08453034
1,8,0.1042138
1,8,0.2313624
1,8,0.5239954
1,8,0.301035
1,9,0.3709581
1,9,0.1749629
1,9,0.315203
1,9,0.1667121
1,9,0.08496433
1,9,0.1143702
1,9,0.06830298
1,9,0.5135359
1,9,0.1744235
1,10,0.3438739
1,10,0.4474371
1,10,0.1321829
1,10,0.3824776
1,10,0.1205203
1,10,0.1404971
1,10,0.09717487
1,10,0.1327019
1,10,0.06230561
1,10,0.06428813
1,10,0.1885647
1,10,0.1234804
1,10,0.3426573
1,10,0.219232
1,11,0.4016049
1,11,0.4516782
1,11,0.3208494
1,11,0.6563841
1,11,0.207212
1,11,0.2167153
1,11,0.1277715
1,11,0.1721956
1,11,0.3257394
1,11,0.383163
1,11,0.6880635
1,11,0.2872268
2,1,0.2269347
2,1,0.2250942
2,1,0.2045481
2,1,0.1362825
2,1,0.198079
2,1,0.0699889
2,1,0.02722754
2,1,0.02449924
2,1,0.03331462
2,1,0.09560631
2,1,0.06190871
2,1,0.08745528
2,1,0.03830393
2,1,0.0196698
2,1,0.01783238
2,1,0.01855647
2,1,0.04969997
2,1,0.03298452
2,1,0.0427247
2,1,0.03334006
2,1,0.0621649
2,1,0.01363624
2,1,0.01347727
2,1,0.05093597
2,1,0.05155532
2,1,0.1012509
2,1,0.1125002
2,1,0.2091331
2,2,0.2293564
2,2,0.2274706
2,2,0.2483282
2,2,0.1726574
2,2,0.3463051
2,2,0.04046368
2,2,0.04129678
2,2,0.0528107
2,2,0.1060946
2,2,0.1824937
2,2,0.1056263
2,2,0.1500501
2,2,0.05242769
2,2,0.06161427
2,2,0.02959248
2,2,0.05370758
2,2,0.07185669
2,2,0.02507702
2,2,0.02893448
2,2,0.01415169
2,2,0.03605474
2,2,0.05694313
2,2,0.1093468
2,2,0.06802417
2,2,0.06734207
2,2,0.1967041
2,2,0.1019062
2,2,0.199834
2,2,0.2433049
2,2,0.2087355
2,2,0.09257673
2,3,0.1544723
