Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,7.62,FastTapIn,0,0.6760244,32.08981, ,0
1,7.64,FastTapIn,0.02,0.3184294,-17.87975, ,0
1,7.66,FastTapIn,0.04,0.599328,14.04494, ,0
1,7.68,FastTapIn,0.06,0.248405,-17.54615, ,0
1,7.7,FastTapIn,0.08,0.120279,-6.406299, ,0
1,7.72,FastTapIn,0.09999999,0.1120587,-0.4110176, ,0
1,7.74,FastTapIn,0.12,0.1136271,0.07842034, ,0
1,7.76,FastTapIn,0.14,0.2049592,4.566608, ,0
1,7.78,FastTapIn,0.16,0.08589792,-5.953066, ,0
1,7.8,FastTapIn,0.18,0.1105114,1.230676, ,0
1,7.82,FastTapIn,0.2,0.03329282,-3.860931, ,0
1,7.84,FastTapIn,0.22,0.03875253,0.2729855, ,0
1,7.86,FastTapIn,0.24,0.0134848,-1.263386, ,0
1,7.88,FastTapIn,0.26,0.01716957,0.1842385, ,0
1,7.9,FastTapIn,0.28,0.0241872,0.3508811, ,0
1,7.92,FastTapIn,0.3,0.0191701,-0.250855, ,0
1,7.94,FastTapIn,0.32,0.02737312,0.4101512, ,0
1,7.96,FastTapIn,0.34,0.01726786,-0.5052629, ,0
1,7.98,FastTapIn,0.36,0.05329959,1.801586, ,0
1,8,FastTapIn,0.38,0.02692997,-1.318481, ,0
1,8.02,FastTapIn,0.4,0.0343256,0.3697813, ,0
1,8.04,FastTapIn,0.42,0.05732409,1.149925, ,0
1,8.059999,FastTapIn,0.4400001,0.02325189,-1.70361, ,0
1,8.08,FastTapIn,0.4600001,0.03892377,0.7835937, ,0
1,8.099999,FastTapIn,0.4800001,0.01947121,-0.9726281, ,0
1,8.12,FastTapIn,0.5000001,0.02302199,0.1775394, ,0
1,8.139999,FastTapIn,0.52,0.0131844,-0.4918795, ,0
1,8.16,FastTapIn,0.54,0.01326733,0.004146295, ,0
1,8.179999,FastTapIn,0.56,0.0357298,1.123124, ,0
1,8.2,FastTapIn,0.58,0.01713047,-0.9299669, ,0
1,8.22,FastTapIn,0.6,0.05679535,1.983244, ,0
1,8.24,FastTapIn,0.6199999,0.01301546,-2.188995, ,0
1,8.26,FastTapIn,0.6399999,0.02640412,0.6694331, ,0
1,8.28,FastTapIn,0.6599999,0.0151925,-0.5605811, ,0
1,8.3,FastTapIn,0.6799999,0.02777999,0.6293747, ,0
1,8.32,FastTapIn,0.6999999,0.01291557,-0.7432212, ,0
1,8.34,FastTapIn,0.7199998,0.0120149,-0.0450335, ,0
1,8.36,FastTapIn,0.7399998,0.02348773,0.5736417, ,0
1,8.38,FastTapIn,0.7599998,0.01634173,-0.3573, ,0
1,8.4,FastTapIn,0.7799998,0.02315694,0.3407602, ,0
1,8.42,FastTapIn,0.7999998,0.009077807,-0.7039564, ,0
1,8.44,FastTapIn,0.8199998,0.006970723,-0.1053542, ,0
1,8.46,FastTapIn,0.8399997,0.009255068,0.1142173, ,0
1,8.48,FastTapIn,0.8599997,0.0164407,0.3592817, ,0
1,8.5,FastTapIn,0.8799997,0.04055541,1.205735, ,0
1,8.52,FastTapIn,0.8999997,0.01651264,-1.202139, ,0
1,8.54,FastTapIn,0.9199997,0.02481275,0.4150057, ,0
1,8.559999,FastTapIn,0.9399996,0.01285318,-0.5979783, ,0
1,8.58,FastTapIn,0.9599996,0.02874739,0.7947102, ,0
1,8.599999,FastTapIn,0.9799996,0.01601556,-0.6365916, ,0
1,8.62,FastTapIn,0.9999996,0.01559943,-0.02080626, ,0
1,8.639999,FastTapIn,1.02,0.03757896,1.098976, ,0
1,8.66,FastTapIn,1.04,0.009781666,-1.389865, ,0
1,8.679999,FastTapIn,1.06,0.02717302,0.8695675, ,0
1,8.7,FastTapIn,1.08,0.01269353,-0.7239746, ,0
1,8.72,FastTapIn,1.1,0.01302491,0.01656925, ,0
1,8.74,FastTapIn,1.12,0.0185027,0.2738895, ,0
1,8.76,FastTapIn,1.14,0.05938644,2.044187, ,0
1,8.78,FastTapIn,1.159999,0.04908144,-0.5152501, ,0
1,8.8,FastTapIn,1.179999,0.0460263,-0.1527572, ,0
1,8.82,FastTapIn,1.199999,0.1578972,5.593545, ,0
1,8.84,FastTapIn,1.219999,0.07388563,-4.200579, ,0
1,8.86,FastTapIn,1.239999,0.2561453,9.112984, ,0
1,8.88,FastTapIn,1.259999,0.2133887,-2.137829, ,0
1,8.9,FastTapIn,1.279999,0.5959255,19.12684, ,0
1,8.92,FastTapIn,1.299999,0.3774772,-10.92242, ,0
1,8.94,FastTapIn,1.319999,0.3673539,-0.5061671, ,0
2,10.14,FastTapIn,0,0.4469035,11.48891, ,0
2,10.16,FastTapIn,0.02,0.2274788,-10.97123, ,0
2,10.18,FastTapIn,0.04,0.1573271,-3.507587, ,0
2,10.2,FastTapIn,0.06,0.3176205,8.014668, ,0
2,10.22,FastTapIn,0.08,0.1650165,-7.6302, ,0
2,10.24,FastTapIn,0.09999999,0.4073967,12.11901, ,0
2,10.26,FastTapIn,0.12,0.2450895,-8.115359, ,0
2,10.28,FastTapIn,0.14,0.3075234,3.121694, ,0
2,10.3,FastTapIn,0.16,0.1536617,-7.693085, ,0
2,10.32,FastTapIn,0.18,0.05531004,-4.917582, ,0
2,10.34,FastTapIn,0.2,0.09663083,2.06604, ,0
2,10.36,FastTapIn,0.22,0.04332869,-2.665107, ,0
2,10.38,FastTapIn,0.24,0.02280458,-1.026206, ,0
2,10.4,FastTapIn,0.26,0.01970137,-0.1551602, ,0
2,10.42,FastTapIn,0.28,0.1084202,4.435943, ,0
2,10.44,FastTapIn,0.3,0.05240331,-2.800846, ,0
2,10.46,FastTapIn,0.32,0.06917576,0.8386223, ,0
2,10.48,FastTapIn,0.34,0.02340895,-2.288341, ,0
2,10.5,FastTapIn,0.36,0.02282082,-0.02940623, ,0
2,10.52,FastTapIn,0.38,0.03025271,0.3715945, ,0
2,10.54,FastTapIn,0.4,0.01844857,-0.5902073, ,0
2,10.56,FastTapIn,0.42,0.0375821,0.9566767, ,0
2,10.58,FastTapIn,0.4400001,0.0237655,-0.6908299, ,0
2,10.6,FastTapIn,0.4600001,0.04428445,1.025947, ,0
2,10.62,FastTapIn,0.4800001,0.02042551,-1.192947, ,0
2,10.64,FastTapIn,0.5000001,0.008783804,-0.5820854, ,0
2,10.66,FastTapIn,0.52,0.02067186,0.5944028, ,0
2,10.68,FastTapIn,0.54,0.007748737,-0.6461563, ,0
2,10.7,FastTapIn,0.56,0.02452825,0.8389755, ,0
2,10.72,FastTapIn,0.58,0.01611239,-0.4207931, ,0
2,10.74,FastTapIn,0.6,0.05918683,2.153722, ,0
2,10.76,FastTapIn,0.6199999,0.01812124,-2.05328, ,0
2,10.78,FastTapIn,0.6399999,0.02826041,0.5069585, ,0
2,10.8,FastTapIn,0.6599999,0.005528167,-1.136612, ,0
2,10.82,FastTapIn,0.6799999,0.002357878,-0.1585144, ,0
2,10.84,FastTapIn,0.6999999,0.01046626,0.4054189, ,0
2,10.86,FastTapIn,0.7199998,0.006724498,-0.1870879, ,0
2,10.88,FastTapIn,0.7399998,0.01633032,0.4802912, ,0
2,10.9,FastTapIn,0.7599998,0.006266079,-0.5032122, ,0
2,10.92,FastTapIn,0.7799998,0.03286215,1.329804, ,0
2,10.94,FastTapIn,0.7999998,0.02082649,-0.6017834, ,0
2,10.96,FastTapIn,0.8199998,0.02049064,-0.01679249, ,0
2,10.98,FastTapIn,0.8399997,0.04723431,1.337184, ,0
2,11,FastTapIn,0.8599997,0.02730833,-0.996299, ,0
2,11.02,FastTapIn,0.8799997,0.02337515,-0.1966588, ,0
2,11.04,FastTapIn,0.8999997,0.01131351,-0.6030819, ,0
2,11.06,FastTapIn,0.9199997,0.007642281,-0.1835616, ,0
2,11.08,FastTapIn,0.9399996,0.01788384,0.512078, ,0
2,11.1,FastTapIn,0.9599996,0.01134187,-0.3270984, ,0
2,11.12,FastTapIn,0.9799996,0.02085442,0.4756272, ,0
2,11.14,FastTapIn,0.9999996,0.009533573,-0.5660422, ,0
2,11.16,FastTapIn,1.02,0.03009776,1.028209, ,0
2,11.18,FastTapIn,1.04,0.01556061,-0.7268575, ,0
2,11.2,FastTapIn,1.06,0.02116346,0.2801425, ,0
2,11.22,FastTapIn,1.08,0.006656669,-0.7253397, ,0
2,11.24,FastTapIn,1.1,0.01878388,0.6063607, ,0
2,11.26,FastTapIn,1.12,0.01472775,-0.2028069, ,0
2,11.28,FastTapIn,1.14,0.01395058,-0.03885809, ,0
2,11.3,FastTapIn,1.159999,0.03015423,0.8101825, ,0
2,11.32,FastTapIn,1.179999,0.01561764,-0.7268294, ,0
2,11.34,FastTapIn,1.199999,0.04708648,1.573442, ,0
2,11.36,FastTapIn,1.219999,0.03376928,-0.6658599, ,0
2,11.38,FastTapIn,1.239999,0.1135611,3.989593, ,0
2,11.4,FastTapIn,1.259999,0.05455027,-2.950543, ,0
2,11.42,FastTapIn,1.279999,0.07031902,0.7884374, ,0
2,11.44,FastTapIn,1.299999,0.1863301,5.800555, ,0
2,11.46,FastTapIn,1.319999,0.1171353,-3.459739, ,0
2,11.48,FastTapIn,1.339999,0.4057334,14.4299, ,0
2,11.5,FastTapIn,1.359999,0.1970975,-10.4318, ,0
2,11.52,FastTapIn,1.379999,0.8409021,32.19023, ,0
3,12.86,FastTapIn,0,0.4313799,9.311631, ,0
3,12.88,FastTapIn,0.02,0.1936944,-11.88428, ,0
3,12.9,FastTapIn,0.04,0.3229827,6.464415, ,0
3,12.92,FastTapIn,0.06,0.1312831,-9.584977, ,0
3,12.94,FastTapIn,0.08,0.1396092,0.4163027, ,0
3,12.96,FastTapIn,0.09999999,0.4481163,15.42536, ,0
3,12.98,FastTapIn,0.12,0.1114314,-16.83425, ,0
3,13,FastTapIn,0.14,0.1684624,2.851552, ,0
3,13.02,FastTapIn,0.16,0.0579354,-5.52635, ,0
3,13.04,FastTapIn,0.18,0.07510281,0.8583702, ,0
3,13.06,FastTapIn,0.2,0.03867928,-1.821177, ,0
