Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,24.28,FastTapIn,0,0.361676,8.741444, ,0
1,24.3,FastTapIn,0.02,0.175396,-9.314, ,0
1,24.32,FastTapIn,0.04,0.134535,-2.043048, ,0
1,24.34,FastTapIn,0.06,0.2820606,7.376281, ,0
1,24.36,FastTapIn,0.08,0.1461289,-6.796588, ,0
1,24.38,FastTapIn,0.09999999,0.2507496,5.231036, ,0
1,24.4,FastTapIn,0.12,0.1247923,-6.297866, ,0
1,24.42,FastTapIn,0.14,0.2600628,6.763527, ,0
1,24.44,FastTapIn,0.16,0.09154966,-8.425657, ,0
1,24.46,FastTapIn,0.18,0.1808783,4.466433, ,0
1,24.48,FastTapIn,0.2,0.05169527,-6.459153, ,0
1,24.5,FastTapIn,0.22,0.05102437,-0.03354512, ,0
1,24.52,FastTapIn,0.24,0.1280895,3.853256, ,0
1,24.54,FastTapIn,0.26,0.08041305,-2.383822, ,0
1,24.56,FastTapIn,0.28,0.1442941,3.194052, ,0
1,24.58,FastTapIn,0.3,0.1134061,-1.544398, ,0
1,24.6,FastTapIn,0.32,0.3328271,10.97105, ,0
1,24.62,FastTapIn,0.34,0.1448503,-9.398838, ,0
1,24.64,FastTapIn,0.36,0.2264751,4.08124, ,0
1,24.66,FastTapIn,0.38,0.3417025,5.761367, ,0
1,24.68,FastTapIn,0.4,0.2316136,-5.504441, ,0
1,24.7,FastTapIn,0.42,0.417093,9.273969, ,0
2,25.8,FastTapIn,0,0.5118266,12.37388, ,0
2,25.82,FastTapIn,0.02,0.248183,-13.18218, ,0
2,25.84,FastTapIn,0.04,0.4145307,8.317385, ,0
2,25.86,FastTapIn,0.06,0.1681842,-12.31732, ,0
2,25.88,FastTapIn,0.08,0.04317893,-6.250262, ,0
2,25.9,FastTapIn,0.09999999,0.103572,3.019656, ,0
2,25.92,FastTapIn,0.12,0.01121995,-4.617605, ,0
2,25.94,FastTapIn,0.14,0.01300862,0.08943319, ,0
2,25.96,FastTapIn,0.16,0.020034,0.3512692, ,0
2,25.98,FastTapIn,0.18,0.08276289,3.136444, ,0
2,26,FastTapIn,0.2,0.03677831,-2.299229, ,0
2,26.02,FastTapIn,0.22,0.04934187,0.628178, ,0
2,26.04,FastTapIn,0.24,0.10542,2.803906, ,0
2,26.06,FastTapIn,0.26,0.01454069,-4.543966, ,0
2,26.08,FastTapIn,0.28,0.03204132,0.8750318, ,0
2,26.1,FastTapIn,0.3,0.01902226,-0.6509531, ,0
2,26.12,FastTapIn,0.32,0.07667463,2.882618, ,0
2,26.14,FastTapIn,0.34,0.02574004,-2.546729, ,0
2,26.16,FastTapIn,0.36,0.04668725,1.04736, ,0
2,26.18,FastTapIn,0.38,0.01018205,-1.82526, ,0
2,26.2,FastTapIn,0.4,0.009355327,-0.04133619, ,0
2,26.22,FastTapIn,0.42,0.02972738,1.018603, ,0
2,26.24,FastTapIn,0.4400001,0.02034685,-0.4690264, ,0
2,26.26,FastTapIn,0.4600001,0.07434186,2.699751, ,0
2,26.28,FastTapIn,0.4800001,0.03619536,-1.907325, ,0
2,26.3,FastTapIn,0.5000001,0.2046175,8.421108, ,0
2,26.32,FastTapIn,0.52,0.3022188,4.880062, ,0
2,26.34,FastTapIn,0.54,0.2930978,-0.45605, ,0
3,27.3,FastTapIn,0,0.2355429,-0.1088277, ,0
3,27.32,FastTapIn,0.02,0.4572062,11.08317, ,0
3,27.34,FastTapIn,0.04,0.2224651,-11.73705, ,0
3,27.36,FastTapIn,0.06,0.2068302,-0.7817455, ,0
3,27.38,FastTapIn,0.08,0.02934433,-8.874294, ,0
3,27.4,FastTapIn,0.09999999,0.07393149,2.229358, ,0
3,27.42,FastTapIn,0.12,0.02566953,-2.413098, ,0
3,27.44,FastTapIn,0.14,0.02273508,-0.1467221, ,0
3,27.46,FastTapIn,0.16,0.07792839,2.759665, ,0
3,27.48,FastTapIn,0.18,0.03159606,-2.316616, ,0
3,27.5,FastTapIn,0.2,0.1403364,5.437017, ,0
3,27.52,FastTapIn,0.22,0.06452203,-3.790719, ,0
3,27.54,FastTapIn,0.24,0.09170415,1.359106, ,0
3,27.56,FastTapIn,0.26,0.03271715,-2.94935, ,0
3,27.58,FastTapIn,0.28,0.0468392,0.7061027, ,0
3,27.6,FastTapIn,0.3,0.01771012,-1.456454, ,0
3,27.62,FastTapIn,0.32,0.005903128,-0.5903497, ,0
3,27.64,FastTapIn,0.34,0.01310955,0.360321, ,0
3,27.66,FastTapIn,0.36,0.01064248,-0.1233535, ,0
3,27.68,FastTapIn,0.38,0.01711667,0.3237095, ,0
3,27.7,FastTapIn,0.4,0.008033046,-0.454181, ,0
3,27.72,FastTapIn,0.42,0.03175732,1.186214, ,0
3,27.74,FastTapIn,0.4400001,0.02388191,-0.3937705, ,0
3,27.76,FastTapIn,0.4600001,0.02461996,0.03690263, ,0
3,27.78,FastTapIn,0.4800001,0.1224172,4.889864, ,0
3,27.8,FastTapIn,0.5000001,0.09863653,-1.189035, ,0
4,28.7,FastTapIn,0,0.6853005,16.02011, ,0
4,28.72,FastTapIn,0.02,0.2318477,-22.67264, ,0
4,28.74,FastTapIn,0.04,0.3762838,7.221805, ,0
4,28.76,FastTapIn,0.06,0.1444252,-11.59293, ,0
