Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,12.2,FastTapIn,0,0.4763745,11.62221, ,0
1,12.22,FastTapIn,0.02,0.233307,-12.15337, ,0
1,12.24,FastTapIn,0.04,0.1849565,-2.417529, ,0
1,12.26,FastTapIn,0.06,0.5833853,19.92144, ,0
1,12.28,FastTapIn,0.08,0.0821432,-25.06211, ,0
1,12.3,FastTapIn,0.09999999,0.2292871,7.357197, ,0
1,12.32,FastTapIn,0.12,0.1104072,-5.944, ,0
1,12.34,FastTapIn,0.14,0.2023744,4.598363, ,0
1,12.36,FastTapIn,0.16,0.09543407,-5.347017, ,0
1,12.38,FastTapIn,0.18,0.1761095,4.033771, ,0
1,12.4,FastTapIn,0.2,0.0840614,-4.602404, ,0
1,12.42,FastTapIn,0.22,0.09874749,0.7343047, ,0
1,12.44,FastTapIn,0.24,0.1398843,2.056839, ,0
1,12.46,FastTapIn,0.26,0.07377332,-3.305548, ,0
1,12.48,FastTapIn,0.28,0.1135094,1.986804, ,0
1,12.5,FastTapIn,0.3,0.01922839,-4.71405, ,0
1,12.52,FastTapIn,0.32,0.03276398,0.6767797, ,0
1,12.54,FastTapIn,0.34,0.02314294,-0.4810522, ,0
1,12.56,FastTapIn,0.36,0.0734266,2.514183, ,0
1,12.58,FastTapIn,0.38,0.04290102,-1.526279, ,0
1,12.6,FastTapIn,0.4,0.007231417,-1.78348, ,0
1,12.62,FastTapIn,0.42,0.05158333,2.217596, ,0
1,12.64,FastTapIn,0.4400001,0.0222535,-1.466492, ,0
1,12.66,FastTapIn,0.4600001,0.0138993,-0.4177102, ,0
1,12.68,FastTapIn,0.4800001,0.01707331,0.1587006, ,0
1,12.7,FastTapIn,0.5000001,0.02428459,0.3605641, ,0
1,12.72,FastTapIn,0.52,0.02439692,0.005616713, ,0
1,12.74,FastTapIn,0.54,0.02186289,-0.1267016, ,0
1,12.76,FastTapIn,0.56,0.03844948,0.8293294, ,0
1,12.78,FastTapIn,0.58,0.0218451,-0.830219, ,0
1,12.8,FastTapIn,0.6,0.03563065,0.6892778, ,0
1,12.82,FastTapIn,0.6199999,0.013711,-1.095983, ,0
1,12.84,FastTapIn,0.6399999,0.01265569,-0.05276585, ,0
1,12.86,FastTapIn,0.6599999,0.0309332,0.9138758, ,0
1,12.88,FastTapIn,0.6799999,0.03944256,0.4254678, ,0
1,12.9,FastTapIn,0.6999999,0.01950021,-0.9971175, ,0
1,12.92,FastTapIn,0.7199998,0.02144201,0.09708982, ,0
1,12.94,FastTapIn,0.7399998,0.04058819,0.957309, ,0
1,12.96,FastTapIn,0.7599998,0.02115596,-0.971611, ,0
1,12.98,FastTapIn,0.7799998,0.02979984,0.4321937, ,0
1,13,FastTapIn,0.7999998,0.01350531,-0.8147262, ,0
1,13.02,FastTapIn,0.8199998,0.03943358,1.296413, ,0
1,13.04,FastTapIn,0.8399997,0.01309456,-1.316951, ,0
1,13.06,FastTapIn,0.8599997,0.01334178,0.01236112, ,0
1,13.08,FastTapIn,0.8799997,0.0155128,0.1085509, ,0
1,13.1,FastTapIn,0.8999997,0.01249255,-0.1510124, ,0
1,13.12,FastTapIn,0.9199997,0.09471868,4.111306, ,0
1,13.14,FastTapIn,0.9399996,0.0104904,-4.211414, ,0
1,13.16,FastTapIn,0.9599996,0.02238066,0.5945134, ,0
1,13.18,FastTapIn,0.9799996,0.02920425,0.341179, ,0
1,13.2,FastTapIn,0.9999996,0.02772127,-0.07414874, ,0
