Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,8.82,FastTapIn,0,0.1176841,0.1824919, ,0
1,8.84,FastTapIn,0.02,0.05012017,-3.378196, ,0
1,8.86,FastTapIn,0.04,0.05289716,0.138849, ,0
1,8.88,FastTapIn,0.06,0.1124387,2.977078, ,0
1,8.9,FastTapIn,0.08,0.05739399,-2.752236, ,0
1,8.92,FastTapIn,0.09999999,0.05722975,-0.008212216, ,0
1,8.94,FastTapIn,0.12,0.09521475,1.89925, ,0
1,8.96,FastTapIn,0.14,0.04813191,-2.354142, ,0
1,8.98,FastTapIn,0.16,0.0790408,1.545445, ,0
1,9,FastTapIn,0.18,0.04057795,-1.923143, ,0
1,9.02,FastTapIn,0.2,0.05131197,0.5367013, ,0
1,9.04,FastTapIn,0.22,0.1015266,2.510729, ,0
1,9.059999,FastTapIn,0.24,0.05309689,-2.421483, ,0
1,9.08,FastTapIn,0.26,0.105084,2.599354, ,0
1,9.099999,FastTapIn,0.28,0.04239375,-3.134511, ,0
1,9.12,FastTapIn,0.3,0.08529992,2.145309, ,0
1,9.139999,FastTapIn,0.32,0.04435882,-2.047055, ,0
1,9.16,FastTapIn,0.34,0.04443225,0.003671646, ,0
1,9.179999,FastTapIn,0.36,0.0899896,2.277868, ,0
1,9.2,FastTapIn,0.38,0.04462292,-2.268334, ,0
1,9.22,FastTapIn,0.4,0.04828274,0.1829911, ,0
1,9.24,FastTapIn,0.42,0.02501115,-1.163579, ,0
1,9.26,FastTapIn,0.4400001,0.03960051,0.7294678, ,0
1,9.28,FastTapIn,0.4600001,0.02040996,-0.9595274, ,0
1,9.3,FastTapIn,0.4800001,0.003867564,-0.8271199, ,0
1,9.32,FastTapIn,0.5000001,0.01020834,0.3170388, ,0
1,9.34,FastTapIn,0.52,0.01823382,0.4012738, ,0
1,9.36,FastTapIn,0.54,0.03182774,0.679696, ,0
1,9.38,FastTapIn,0.56,0.02137437,-0.5226685, ,0
1,9.4,FastTapIn,0.58,0.04513709,1.188136, ,0
1,9.42,FastTapIn,0.6,0.02588254,-0.9627274, ,0
1,9.44,FastTapIn,0.6199999,0.05199492,1.305619, ,0
1,9.46,FastTapIn,0.6399999,0.02812951,-1.193271, ,0
1,9.48,FastTapIn,0.6599999,0.02662336,-0.0753073, ,0
1,9.5,FastTapIn,0.6799999,0.03573788,0.4557259, ,0
1,9.52,FastTapIn,0.6999999,0.01716831,-0.9284787, ,0
1,9.54,FastTapIn,0.7199998,0.06749679,2.516424, ,0
1,9.559999,FastTapIn,0.7399998,0.03251627,-1.749026, ,0
1,9.58,FastTapIn,0.7599998,0.03224701,-0.0134632, ,0
1,9.599999,FastTapIn,0.7799998,0.06121664,1.448482, ,0
1,9.62,FastTapIn,0.7999998,0.01618105,-2.25178, ,0
1,9.639999,FastTapIn,0.8199998,0.06219381,2.300638, ,0
1,9.66,FastTapIn,0.8399997,0.02109238,-2.055072, ,0
1,9.679999,FastTapIn,0.8599997,0.03274893,0.5828276, ,0
1,9.7,FastTapIn,0.8799997,0.01084863,-1.095015, ,0
1,9.719999,FastTapIn,0.8999997,0.0224601,0.5805734, ,0
1,9.74,FastTapIn,0.9199997,0.0138541,-0.4303001, ,0
1,9.76,FastTapIn,0.9399996,0.01662696,0.1386433, ,0
1,9.78,FastTapIn,0.9599996,0.006082615,-0.5272174, ,0
1,9.8,FastTapIn,0.9799996,0.006205457,0.006142096, ,0
1,9.82,FastTapIn,0.9999996,0.02124627,0.7520406, ,0
1,9.84,FastTapIn,1.02,0.01255129,-0.4347487, ,0
1,9.86,FastTapIn,1.04,0.01454332,0.09960128, ,0
1,9.88,FastTapIn,1.06,0.001813569,-0.6364875, ,0
1,9.9,FastTapIn,1.08,0.0257027,1.194457, ,0
1,9.92,FastTapIn,1.1,0.001816989,-1.194286, ,0
1,9.94,FastTapIn,1.12,0.0125836,0.5383305, ,0
1,9.96,FastTapIn,1.14,0.02357549,0.5495947, ,0
1,9.98,FastTapIn,1.159999,0.007025314,-0.8275089, ,0
1,10,FastTapIn,1.179999,0.01364001,0.3307349, ,0
1,10.02,FastTapIn,1.199999,0.008115065,-0.2762474, ,0
1,10.04,FastTapIn,1.219999,0.01654442,0.4214677, ,0
1,10.06,FastTapIn,1.239999,0.01396778,-0.1288321, ,0
1,10.08,FastTapIn,1.259999,0.01379654,-0.008561974, ,0
1,10.1,FastTapIn,1.279999,0.02381527,0.5009368, ,0
1,10.12,FastTapIn,1.299999,0.01039435,-0.6710461, ,0
1,10.14,FastTapIn,1.319999,0.03077038,1.018802, ,0
1,10.16,FastTapIn,1.339999,0.02143963,-0.4665378, ,0
1,10.18,FastTapIn,1.359999,0.01478454,-0.3327543, ,0
1,10.2,FastTapIn,1.379999,0.006992883,-0.3895831, ,0
1,10.22,FastTapIn,1.399999,0.02782865,1.041788, ,0
1,10.24,FastTapIn,1.419999,0.01336271,-0.7232972, ,0
1,10.26,FastTapIn,1.439999,0.01094362,-0.1209545, ,0
1,10.28,FastTapIn,1.459999,0.01911901,0.4087695, ,0
1,10.3,FastTapIn,1.479999,0.005995046,-0.6561981, ,0
1,10.32,FastTapIn,1.499999,0.0106252,0.2315077, ,0
1,10.34,FastTapIn,1.519999,0.01492609,0.2150443, ,0
1,10.36,FastTapIn,1.539999,0.02676556,0.5919737, ,0
1,10.38,FastTapIn,1.559999,0.007258833,-0.9753363, ,0
1,10.4,FastTapIn,1.579999,0.01805467,0.5397921, ,0
1,10.42,FastTapIn,1.599999,0.01446622,-0.1794227, ,0
1,10.44,FastTapIn,1.619999,0.01430199,-0.008211657, ,0
1,10.46,FastTapIn,1.639999,0.007088574,-0.3606706, ,0
1,10.48,FastTapIn,1.659999,0.003297647,-0.1895464, ,0
1,10.5,FastTapIn,1.679999,0.01636664,0.6534498, ,0
1,10.52,FastTapIn,1.699999,0.007148152,-0.4609245, ,0
1,10.54,FastTapIn,1.719999,0.02438772,0.8619787, ,0
1,10.56,FastTapIn,1.739999,0.01070468,-0.6841521, ,0
1,10.58,FastTapIn,1.759999,0.007597246,-0.1553718, ,0
1,10.6,FastTapIn,1.779999,0.01344488,0.2923818, ,0
1,10.62,FastTapIn,1.799999,0.01259973,-0.04225755, ,0
1,10.64,FastTapIn,1.819999,0.01399116,0.06957147, ,0
1,10.66,FastTapIn,1.839999,0.00602971,-0.3980725, ,0
1,10.68,FastTapIn,1.859999,0.03974855,1.685942, ,0
1,10.7,FastTapIn,1.879999,0.07657792,1.841469, ,0
1,10.72,FastTapIn,1.899999,0.0382127,-1.918261, ,0
1,10.74,FastTapIn,1.919999,0.2994256,13.06065, ,0
1,10.76,FastTapIn,1.939999,0.1423605,-7.853257, ,0
2,12.84,FastTapIn,0,0.1308778,3.620089, ,0
2,12.86,FastTapIn,0.02,0.07215758,-2.936012, ,0
2,12.88,FastTapIn,0.04,0.07318579,0.05141087, ,0
2,12.9,FastTapIn,0.06,0.148635,3.772461, ,0
2,12.92,FastTapIn,0.08,0.1010962,-2.376939, ,0
2,12.94,FastTapIn,0.09999999,0.0505648,-2.526572, ,0
2,12.96,FastTapIn,0.12,0.05122734,0.03312714, ,0
2,12.98,FastTapIn,0.14,0.09207208,2.042237, ,0
2,13,FastTapIn,0.16,0.01115258,-4.045975, ,0
2,13.02,FastTapIn,0.18,0.06758597,2.82167, ,0
2,13.04,FastTapIn,0.2,0.02559735,-2.099431, ,0
2,13.06,FastTapIn,0.22,0.03263189,0.351727, ,0
2,13.08,FastTapIn,0.24,0.01732544,-0.7653223, ,0
