Number,Case,Min,Mean,Max
1,1,-32.6985,-8.674493540000002,-0.6304181
1,2,-32.3669,-7.5887169000000005,-0.6381565
1,3,-20.66742,-5.935882683333333,-0.6653117
1,4,-25.18639,-5.8295594714285714,-0.743311
1,5,-14.19553,-4.167330706666667,-0.6364226
1,6,-24.54431,-6.537498890909092,-0.7427968
1,7,-34.50773,-6.016781793333334,-0.679229
1,8,-32.10889,-7.048604452941176,-0.6823104
1,9,-19.78633,-4.623379315384614,-0.8320744
1,10,-27.47185,-5.804030783333332,-0.6437646
2,1,-7.681146,-2.129107388,-0.7079765
2,2,-27.05914,-7.442703421428571,-0.607826
2,3,-13.33483,-4.7706730083333335,-0.7028084
2,4,-13.3292,-7.8502055,-3.22388
2,5,-18.45453,-5.902050069230769,-0.6087989
2,6,-21.32207,-9.276710766666666,-0.6442024
2,7,-29.9842,-11.495253033333334,-0.6600052
2,8,-16.81956,-6.8955733375,-0.8585647
2,9,-17.8942,-8.657980777777777,-1.698112
2,10,-55.44963,-19.692219883333333,-0.7989213
3,1,-55.26377,-8.8446387,-0.7288139
3,2,-59.8631,-12.841602355555558,-0.7711012
3,3,-60.73265,-9.6340712,-0.8840533
3,4,-43.74566,-7.598997852941176,-0.5859136
3,5,-41.26519,-9.600225233333331,-0.8304991
3,6,-58.17603,-6.897616393750001,-0.5842348
3,7,-42.29776,-7.402776205555556,-0.8200382
3,8,-35.16735,-6.932103046666667,-0.9301655
3,9,-28.16639,-6.1550176,-1.367613
3,10,-32.49551,-5.933625081250001,-0.6269835
4,1,-32.34729,-5.131840292307692,-0.6735852
4,2,-24.71169,-5.2264044357142865,-0.8080007
4,3,-26.09189,-4.564214495238095,-0.6653827
4,4,-31.6285,-5.774732468421053,-0.9711869
4,5,-22.24835,-4.517906373333333,-0.698486
4,6,-35.28473,-6.6559881,-0.6083372
4,7,-15.89736,-4.28240605,-0.6642548
4,8,-15.87108,-3.8008147315789476,-0.6000282
4,9,-23.91411,-7.929008566666666,-0.8571492
4,10,-18.67455,-5.940382893333334,-0.7712284
