Number,Case,Acceleration
1,1,-17.9269
1,1,-32.6985
1,1,-25.7352
1,1,-6.746815
1,1,-5.306086
1,1,-2.312484
1,1,-0.6304181
1,1,-1.31302
1,1,-2.426722
1,1,-0.851234
1,1,-1.133123
1,1,-2.007362
1,1,-2.298421
1,1,-8.696308
1,1,-20.03481
1,2,-24.47846
1,2,-32.3669
1,2,-10.34828
1,2,-4.146883
1,2,-0.6381565
1,2,-0.9586092
1,2,-2.249253
1,2,-0.9845942
1,2,-1.640979
1,2,-1.214838
1,2,-4.448933
1,3,-20.66742
1,3,-18.59873
1,3,-15.17152
1,3,-3.154042
1,3,-2.980839
1,3,-1.465446
1,3,-0.9250535
1,3,-2.358401
1,3,-1.112919
1,3,-0.6653117
1,3,-2.099104
1,3,-2.031806
1,4,-21.63159
1,4,-3.789318
1,4,-25.18639
1,4,-12.84152
1,4,-1.560851
1,4,-3.627467
1,4,-1.038786
1,4,-0.8348281
1,4,-1.472961
1,4,-0.743311
1,4,-0.8468015
1,4,-1.478338
1,4,-1.99313
1,4,-4.568541
1,5,-14.19553
1,5,-7.019676
1,5,-7.217044
1,5,-3.531135
1,5,-5.892597
1,5,-2.478439
1,5,-2.064183
1,5,-4.041775
1,5,-4.31064
1,5,-1.626008
1,5,-1.510389
1,5,-2.287863
1,5,-2.785422
1,5,-2.912837
1,5,-0.6364226
1,6,-19.56449
1,6,-24.54431
1,6,-9.441269
1,6,-3.686598
1,6,-2.29388
1,6,-3.171552
1,6,-0.7427968
1,6,-1.696599
1,6,-1.908662
1,6,-3.201007
1,6,-1.661324
1,7,-34.50773
1,7,-11.43593
1,7,-3.553417
1,7,-6.30706
1,7,-4.303232
1,7,-0.7658609
1,7,-1.413946
1,7,-2.609083
1,7,-0.965731
1,7,-2.068517
1,7,-1.86414
1,7,-0.679229
1,7,-1.258932
1,7,-2.491709
1,7,-16.02721
1,8,-32.10889
1,8,-31.14902
1,8,-22.03851
1,8,-4.213272
1,8,-1.797229
1,8,-1.820111
1,8,-0.7658173
1,8,-2.947049
1,8,-4.125888
1,8,-2.989139
1,8,-1.051074
1,8,-0.6823104
1,8,-2.019449
1,8,-1.736389
1,8,-2.269334
1,8,-5.137288
1,8,-2.975506
1,9,-19.78633
1,9,-1.213361
1,9,-12.83506
1,9,-9.015118
1,9,-2.671601
1,9,-1.717663
1,9,-2.232442
1,9,-0.9179077
1,9,-0.913717
1,9,-1.282945
1,9,-1.621002
1,9,-0.8320744
1,9,-5.06471
1,10,-27.47185
1,10,-8.17638
1,10,-12.04445
1,10,-6.921913
1,10,-4.231996
1,10,-3.10108
1,10,-1.375703
1,10,-1.034897
1,10,-0.6437646
1,10,-2.721559
