Number,Case,Min,Mean,Max
Execute,1,-17.9269,-2.3152140422578613,-0.003109686
Execute,2,-15.60182,-2.4002157989855073,-0.01679249
Execute,3,-17.04335,-1.8204723367567568,-0.00502402
Execute,4,-18.74706,-1.9567607668564286,-0.0004562549
Execute,5,-17.92321,-2.4817528393356647,-0.003740541
Execute,6,-21.32207,-2.6604953258478266,-0.00309702
Execute,7,-19.19397,-2.842050149618321,-0.01234249
Execute,8,-12.62099,-2.275286190833333,-0.003763149
Execute,9,-17.8942,-2.47757623231884,-0.03149547
Execute,10,-21.59088,-2.9003573904661657,-0.005824212
Execute,11,-49.75446,-9.984760073962265,-0.03132522
Execute,12,-50.85559,-7.9409147992,-0.04622266
Execute,13,-36.01058,-8.692832259355557,-0.009415671
Execute,14,-41.17483,-7.855284149666668,-0.05854368
Execute,15,-35.7849,-7.4421993087931035,-0.05645752
Execute,16,-162.0376,-13.953937106727272,-0.08575097
Execute,17,-120.9565,-18.339875304545455,-0.1214555
Execute,18,-42.65805,-8.952936184313726,-0.269464
Execute,19,-67.62568,-12.169853463829787,-0.1015954
Execute,20,-63.70302,-11.722112613035714,-0.01859143
Execute,21,-64.42326,-11.761028096666665,-0.08929409
Execute,22,-1967.156,-86.28727927499999,-0.4171222
Execute,23,-54.09985,-13.050972434864866,-0.07839724
Execute,24,-55.07862,-11.471091646486489,-0.04783692
Execute,25,-42.81401,-15.063919196969696,-0.1943685
Execute,26,-79.91708,-13.571152423730767,-0.001113117
Execute,27,-74.17915,-17.399807225,-0.7779707
Execute,28,-53.32242,-12.050717089655176,-0.1457937
Execute,29,-42.74899,-15.060624232142857,-0.1986725
Execute,30,-59.84637,-14.39840582121212,-0.5878359
Execute,31,-11.12962,-7.1201859999999995,-3.718531
Execute,32,-15.38414,-12.10523175,-8.388937
Execute,33,-12.57213,-11.638258000000002,-10.28597
Execute,34,-15.83938,-12.9582368,-9.538504
Execute,35,-22.64654,-13.660418920000001,-0.2179146
Execute,36,-9.550876,-9.051641333333334,-8.716006
Execute,37,-14.42658,-8.968347285714284,-1.44901
Execute,38,-13.70531,-12.2008885,-6.280521
Execute,39,-8.927397,-7.3914462499999996,-5.112792
Execute,40,-11.20194,-4.9648015375000005,-0.107678
