Number,Case,Acceleration
Execute,1,-3.664041
Execute,1,-2.734504
Execute,1,-0.9016954
Execute,1,-2.036603
Execute,1,-0.4366547
Execute,1,-1.555214
Execute,1,-1.850402
Execute,2,-10.65499
Execute,2,-6.820287
Execute,2,-2.731321
Execute,2,-2.431023
Execute,2,-4.788443
Execute,2,-0.5254987
Execute,2,-3.110338
Execute,2,-0.2339995
Execute,2,-0.9817226
Execute,2,-4.216556
Execute,2,-7.557151
Execute,3,-14.65877
Execute,3,-17.04335
Execute,3,-9.986197
Execute,3,-1.259611
Execute,3,-5.23609
Execute,3,-0.954509
Execute,3,-2.442258
Execute,3,-1.906516
Execute,3,-0.7988913
Execute,3,-0.09967647
Execute,3,-1.83784
Execute,4,-2.671321
Execute,4,-0.2575805
Execute,4,-3.457068
Execute,4,-4.114896
Execute,4,-3.413277
Execute,4,-0.9114566
Execute,4,-0.01078525
Execute,4,-1.441899
Execute,4,-1.166227
Execute,4,-2.326408
Execute,5,-0.6009534
Execute,5,-3.279436
Execute,5,-6.648216
Execute,5,-0.04470255
Execute,5,-3.146274
Execute,5,-2.447021
Execute,5,-4.365505
Execute,5,-1.278977
Execute,5,-1.359508
Execute,5,-0.3114699
Execute,5,-1.988157
Execute,5,-0.1141485
Execute,6,-0.7946789
Execute,6,-4.566966
Execute,6,-0.008580275
Execute,6,-2.017092
Execute,6,-1.278695
Execute,6,-1.177447
Execute,6,-0.05245553
Execute,6,-3.913506
Execute,6,-2.160781
Execute,6,-0.8974714
Execute,6,-2.341635
Execute,6,-0.2855083
Execute,6,-2.451388
Execute,6,-0.1297528
Execute,6,-0.9874435
Execute,7,-4.555331
Execute,7,-5.408387
Execute,7,-1.507429
Execute,7,-0.8729593
Execute,7,-1.479492
Execute,7,-1.703074
Execute,7,-1.37544
Execute,7,-0.06476529
Execute,7,-2.189463
Execute,7,-9.405727
Execute,8,-7.480625
Execute,8,-7.059242
Execute,8,-2.106844
Execute,8,-6.382657
Execute,8,-1.282313
Execute,8,-0.2948083
Execute,8,-2.510672
Execute,8,-0.01673475
Execute,8,-1.038713
Execute,8,-2.520954
Execute,8,-5.159446
Execute,8,-1.595324
Execute,8,-0.2300501
Execute,9,-8.799068
Execute,9,-4.771708
Execute,9,-2.910044
Execute,9,-1.99614
Execute,9,-1.851489
Execute,9,-1.706429
Execute,9,-2.190501
Execute,9,-2.996051
Execute,9,-6.020817
Execute,10,-3.902865
Execute,10,-8.766353
Execute,10,-6.065047
Execute,10,-3.724139
Execute,10,-0.572382
Execute,10,-0.1041664
Execute,10,-0.5779566
Execute,10,-3.363584
Execute,10,-0.2454676
Execute,10,-3.331187
Execute,11,-0.03132522
Execute,11,-2.201226
Execute,11,-0.1009531
Execute,11,-3.037988
Execute,12,-2.623502
Execute,12,-13.7748
Execute,12,-7.012846
Execute,12,-5.0737
Execute,12,-0.902531
Execute,12,-6.465525
Execute,13,-8.563364
Execute,13,-10.158
Execute,13,-3.977021
Execute,13,-1.681742
Execute,13,-5.980678
Execute,14,-22.78609
Execute,14,-14.01547
Execute,14,-12.17337
Execute,14,-5.944248
Execute,14,-6.533487
Execute,14,-0.7278174
Execute,15,-15.75186
Execute,15,-15.94251
Execute,15,-0.05645752
Execute,15,-2.775305
Execute,15,-3.319741
Execute,15,-0.8871503
Execute,15,-9.602142
Execute,15,-0.07968768
Execute,16,-15.82551
Execute,16,-28.86571
Execute,16,-19.54873
Execute,16,-2.464954
Execute,16,-10.37838
Execute,17,-38.46009
Execute,17,-26.48913
Execute,17,-2.561742
Execute,17,-2.996051
Execute,17,-4.500438
Execute,18,-16.5661
Execute,18,-9.265293
Execute,18,-1.411885
Execute,18,-1.813794
Execute,19,-13.58877
Execute,19,-30.8174
Execute,19,-1.015513
Execute,19,-7.607812
Execute,20,-17.36981
Execute,20,-0.2848372
Execute,20,-17.08794
Execute,20,-1.248558
Execute,20,-5.12243
Execute,20,-15.25377
Execute,21,-14.29551
Execute,21,-4.570796
Execute,21,-3.769495
Execute,21,-3.798414
Execute,21,-8.902804
Execute,22,-21.86877
Execute,22,-6.131498
Execute,22,-9.895288
Execute,22,-6.559378
Execute,23,-17.61592
Execute,23,-3.059781
Execute,23,-0.7211328
Execute,23,-16.86715
Execute,23,-0.07839724
Execute,23,-2.000007
Execute,23,-1.508422
Execute,23,-1.576465
Execute,23,-17.66479
Execute,23,-0.5307809
Execute,24,-5.453545
Execute,24,-6.358688
Execute,24,-5.120146
Execute,24,-4.342859
Execute,25,-5.678426
Execute,25,-4.167992
Execute,25,-5.493742
Execute,26,-10.32462
Execute,26,-10.62449
Execute,26,-7.638518
Execute,26,-7.173473
Execute,26,-14.42636
Execute,27,-19.49474
Execute,27,-19.88795
Execute,28,-8.613456
Execute,29,-16.55153
Execute,29,-8.04486
Execute,30,-24.49785
Execute,30,-24.85685
Execute,30,-12.51024
Execute,1,-5.10183
Execute,1,-0.06910712
Execute,1,-11.25666
Execute,1,-5.928126
Execute,1,-0.08982196
Execute,1,-7.354247
Execute,1,-9.370575
Execute,1,-2.020144
Execute,1,-0.9126894
Execute,1,-2.443428
Execute,1,-0.2696425
Execute,1,-11.19186
Execute,2,-3.403349
Execute,2,-3.912125
Execute,2,-3.35403
Execute,2,-2.855504
Execute,2,-0.8290542
Execute,2,-0.2224012
Execute,2,-1.469185
Execute,2,-1.789392
Execute,3,-8.066351
Execute,3,-4.413465
Execute,3,-0.8432403
Execute,3,-0.4873426
Execute,3,-1.955771
Execute,3,-0.07333905
Execute,4,-4.338618
Execute,4,-3.153504
Execute,4,-3.902682
Execute,4,-0.04328825
Execute,4,-0.9775249
Execute,4,-0.4321806
Execute,5,-8.166728
Execute,5,-10.20683
Execute,5,-3.049004
Execute,5,-1.999154
Execute,5,-1.3485
Execute,5,-0.2472333
Execute,5,-2.249002
Execute,6,-6.050169
Execute,6,-2.033806
Execute,6,-6.156843
Execute,6,-3.415935
Execute,6,-0.1066339
Execute,6,-0.3568599
Execute,7,-11.69588
Execute,7,-14.36018
Execute,7,-19.19397
Execute,7,-0.4287856
Execute,7,-16.93609
Execute,7,-10.01954
Execute,7,-0.4774503
Execute,8,-6.53778
Execute,8,-5.229739
Execute,8,-0.7516831
Execute,8,-6.812821
Execute,8,-3.338215
Execute,8,-3.704017
Execute,8,-2.313363
Execute,8,-0.7056572
Execute,8,-0.1099051
Execute,8,-1.590835
Execute,8,-2.619002
Execute,8,-3.575611
Execute,8,-0.03417274
Execute,8,-1.272683
Execute,8,-1.519392
Execute,8,-0.7418064
Execute,8,-2.809911
Execute,9,-4.926276
Execute,9,-2.79183
Execute,9,-1.640147
Execute,9,-2.309099
Execute,9,-2.952247
Execute,9,-4.548025
Execute,9,-4.69954
Execute,9,-2.675967
Execute,9,-0.7959735
Execute,9,-0.1080092
Execute,9,-1.195695
Execute,9,-0.3432013
Execute,9,-6.732919
Execute,10,-3.939708
Execute,10,-4.514882
Execute,10,-3.128611
Execute,10,-3.005014
Execute,10,-3.110023
Execute,10,-2.269455
Execute,10,-1.044869
Execute,10,-2.088153
Execute,11,-5.714791
Execute,11,-4.644702
Execute,11,-1.498294
Execute,11,-3.260226
Execute,12,-3.351461
Execute,12,-1.962649
Execute,12,-2.290808
Execute,12,-0.8428025
Execute,12,-1.494086
Execute,13,-3.05949
Execute,13,-0.009415671
Execute,13,-2.1784
Execute,13,-0.3550241
Execute,13,-1.581826
Execute,13,-0.7745649
Execute,13,-0.524399
Execute,13,-0.114432
Execute,13,-1.112625
Execute,14,-4.863046
Execute,14,-4.769923
Execute,14,-2.494583
Execute,14,-0.5326451
Execute,14,-0.54209
Execute,14,-0.8059417
Execute,14,-0.8928711
Execute,14,-0.1530112
Execute,15,-3.863391
Execute,15,-2.002683
Execute,15,-0.49222
Execute,15,-2.951544
Execute,15,-3.565566
Execute,16,-2.557916
Execute,16,-4.185883
Execute,16,-2.091457
Execute,16,-1.810198
Execute,16,-0.9363965
