Number,Case,Velocity
Execute,1,0.1482541
Execute,1,0.07497333
Execute,1,0.08456187
Execute,1,0.0298718
Execute,1,0.05927341
Execute,1,0.04123951
Execute,1,0.0858459
Execute,1,0.04511385
Execute,1,0.03638076
Execute,1,0.07254691
Execute,1,0.04144264
Execute,1,0.05947877
Execute,1,0.02247074
Execute,1,0.02552153
Execute,1,0.0474781
Execute,1,0.136794
Execute,2,0.1545944
Execute,2,0.1853161
Execute,2,0.0489104
Execute,2,0.05316392
Execute,2,0.1317168
Execute,2,0.0770904
Execute,2,0.10142
Execute,2,0.05279957
Execute,2,0.1110314
Execute,2,0.01526252
Execute,2,0.01538634
Execute,2,0.004876362
Execute,2,0.005334652
Execute,2,0.07664432
Execute,2,0.01443755
Execute,2,0.01837752
Execute,2,0.01369753
Execute,2,0.05360238
Execute,2,0.03396792
Execute,2,0.08937402
Execute,2,0.2526382
Execute,2,0.1683071
Execute,2,0.2683223
Execute,3,0.2468782
Execute,3,0.3730634
Execute,3,0.4319794
Execute,3,0.09111247
Execute,3,0.2548838
Execute,3,0.05515983
Execute,3,0.1075039
Execute,3,0.08231164
Execute,3,0.1848283
Execute,3,0.08010646
Execute,3,0.06101628
Execute,3,0.08323139
Execute,3,0.03438624
Execute,3,0.0721819
Execute,3,0.03405157
Execute,3,0.06234865
Execute,3,0.04637083
Execute,3,0.0443773
Execute,3,0.1469151
Execute,3,0.1101583
Execute,4,0.2309192
Execute,4,0.2724123
Execute,4,0.04406702
Execute,4,0.08836024
Execute,4,0.03493381
Execute,4,0.0297822
Execute,4,0.07699583
Execute,4,0.007854479
Execute,4,0.1287661
Execute,4,0.04646816
Execute,4,0.08947003
Execute,4,0.02120448
Execute,4,0.02251275
Execute,4,0.004283613
Execute,4,0.004067908
Execute,4,0.05313518
Execute,4,0.02429719
Execute,4,0.07259476
Execute,4,0.04927023
Execute,4,0.1253377
Execute,4,0.0788096
Execute,4,0.1695221
Execute,5,0.150452
Execute,5,0.1384329
Execute,5,0.07284422
Execute,5,0.1931851
Execute,5,0.06022074
Execute,5,0.05932669
Execute,5,0.1154641
Execute,5,0.05253863
Execute,5,0.05484103
Execute,5,0.005900613
Execute,5,0.08797655
Execute,5,0.0006664452
Execute,5,0.02690757
Execute,5,0.06444523
Execute,5,0.03886569
Execute,5,0.05193477
Execute,5,0.02474462
Execute,5,0.01851522
Execute,5,0.03887379
Execute,5,0.1140112
Execute,5,0.07424804
Execute,5,0.07196507
Execute,5,0.04510506
Execute,6,0.2222346
Execute,6,0.206341
Execute,6,0.2075216
Execute,6,0.04227775
Execute,6,0.04210614
Execute,6,0.06677795
Execute,6,0.0264361
Execute,6,0.05347624
Execute,6,0.02790233
Execute,6,0.05390029
Execute,6,0.03035135
Execute,6,0.02930224
Execute,6,0.1272433
Execute,6,0.04897323
Execute,6,0.06009772
Execute,6,0.01688209
Execute,6,0.06113327
Execute,6,0.04318384
Execute,6,0.07777299
Execute,6,0.0309403
Execute,6,0.02523013
Execute,6,0.05708208
Execute,6,0.008054322
Execute,6,0.02304179
Execute,6,0.02044673
Execute,6,0.07041124
Execute,6,0.05066237
Execute,6,0.1573874
Execute,6,0.2681771
Execute,7,0.1909685
Execute,7,0.1095845
Execute,7,0.1621693
Execute,7,0.05400155
Execute,7,0.02385296
Execute,7,0.006393775
Execute,7,0.02766967
Execute,7,0.07227869
Execute,7,0.04268885
Execute,7,0.06499542
Execute,7,0.03093394
Execute,7,0.04123703
Execute,7,0.01372823
Execute,7,0.02822331
Execute,7,0.03798903
Execute,7,0.03669372
Execute,7,0.1572763
