Number,Case,Acceleration
Execute,1,-0.005231798
Execute,1,-1.599578
Execute,1,-0.3220913
Execute,1,-0.02555596
Execute,1,-0.6079558
Execute,1,-0.5018634
Execute,1,-0.5316098
Execute,1,-0.5951573
Execute,1,-0.8896742
Execute,1,-1.092108
Execute,1,-0.6472715
Execute,1,-0.4886446
Execute,1,-0.965809
Execute,1,-0.8927441
Execute,1,-1.094055
Execute,1,-0.3784864
Execute,1,-1.294773
Execute,1,-0.06691646
Execute,1,-0.8845897
Execute,1,-0.4650831
Execute,1,-1.402593
Execute,1,-0.785278
Execute,1,-0.2386329
Execute,1,-0.03207792
Execute,1,-0.2500031
Execute,1,-0.8081731
Execute,1,-1.363376
Execute,1,-0.7162459
Execute,1,-1.004012
Execute,1,-0.02726149
Execute,1,-0.00788616
Execute,1,-0.5570322
Execute,1,-0.4042203
Execute,1,-0.1157913
Execute,1,-1.112942
Execute,1,-1.048926
Execute,1,-0.8555157
Execute,1,-1.042328
Execute,1,-0.5749025
Execute,1,-1.222433
Execute,1,-0.3635506
Execute,1,-0.3669167
Execute,1,-0.2336838
Execute,1,-0.9576925
Execute,1,-0.07440317
Execute,1,-0.1899898
Execute,1,-0.2366221
Execute,1,-0.7454443
Execute,1,-0.06942691
Execute,1,-1.127242
Execute,1,-0.2461703
Execute,1,-0.05748654
Execute,1,-0.7879481
Execute,1,-0.1985549
Execute,1,-0.01311246
Execute,1,-0.05168661
Execute,1,-0.1139607
Execute,1,-0.8048214
Execute,1,-0.09151974
Execute,1,-0.1111076
Execute,1,-0.1012448
Execute,1,-0.6154163
Execute,1,-0.9065057
Execute,1,-0.2978554
Execute,1,-0.01803455
Execute,1,-0.9511285
Execute,1,-0.2440341
Execute,1,-0.8819821
Execute,1,-1.237636
Execute,1,-0.3310404
Execute,1,-0.1165858
Execute,1,-0.5729204
Execute,1,-0.1818314
Execute,1,-0.4429029
Execute,1,-0.3010604
Execute,1,-0.8762907
Execute,1,-0.07740422
Execute,1,-0.3784905
Execute,1,-0.02422291
Execute,1,-0.8243713
Execute,1,-0.2268571
Execute,1,-0.2282602
Execute,1,-0.4626249
Execute,1,-0.04371405
Execute,1,-0.4899737
Execute,1,-0.1821656
Execute,1,-0.2669911
Execute,1,-0.1882925
Execute,1,-0.1164186
Execute,1,-0.1593224
Execute,1,-0.1746059
Execute,1,-0.09734258
Execute,1,-0.8240336
Execute,1,-0.5884894
Execute,1,-0.04897719
Execute,1,-0.344136
Execute,1,-0.3915812
Execute,1,-0.05943035
Execute,1,-0.02685413
