Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,6.1,FastTapIn,0,0.150447,-8.224562, ,0
1,6.12,FastTapIn,0.02,0.08307163,-3.368768, ,0
1,6.14,FastTapIn,0.04,0.2029697,5.994904, ,0
1,6.16,FastTapIn,0.06,0.08986008,-5.655482, ,0
1,6.18,FastTapIn,0.08,0.05006798,-1.989605, ,0
1,6.2,FastTapIn,0.09999999,0.1388909,4.441146, ,0
2,6.24,FastTapIn,0,0.06906588,-1.714855, ,0
2,6.26,FastTapIn,0.02,0.14111,3.602205, ,0
2,6.28,FastTapIn,0.04,0.05472496,-4.319251, ,0
2,6.3,FastTapIn,0.06,0.1138429,2.955896, ,0
2,6.32,FastTapIn,0.08,0.06025474,-2.679407, ,0
2,6.34,FastTapIn,0.09999999,0.0936124,1.667883, ,0
2,6.36,FastTapIn,0.12,0.04567697,-2.396772, ,0
2,6.38,FastTapIn,0.14,0.05965328,0.6988157, ,0
2,6.4,FastTapIn,0.16,0.1233555,3.185113, ,0
2,6.42,FastTapIn,0.18,0.06551093,-2.89223, ,0
2,6.44,FastTapIn,0.2,0.1047215,1.96053, ,0
2,6.46,FastTapIn,0.22,0.05060809,-2.705672, ,0
2,6.48,FastTapIn,0.24,0.02877091,-1.091859, ,0
2,6.5,FastTapIn,0.26,0.04376621,0.7497648, ,0
2,6.52,FastTapIn,0.28,0.02488971,-0.9438249, ,0
2,6.54,FastTapIn,0.3,0.05652915,1.581972, ,0
2,6.56,FastTapIn,0.32,0.02514574,-1.569171, ,0
2,6.58,FastTapIn,0.34,0.04467292,0.976359, ,0
2,6.6,FastTapIn,0.36,0.03088936,-0.6891778, ,0
2,6.62,FastTapIn,0.38,0.05858412,1.384738, ,0
2,6.64,FastTapIn,0.4,0.01265808,-2.296302, ,0
2,6.66,FastTapIn,0.42,0.01206067,-0.0298704, ,0
2,6.68,FastTapIn,0.4400001,0.02161902,0.4779175, ,0
2,6.7,FastTapIn,0.4600001,0.02214958,0.02652826, ,0
2,6.72,FastTapIn,0.4800001,0.0404556,0.9153008, ,0
2,6.74,FastTapIn,0.5000001,0.06406625,1.180532, ,0
2,6.76,FastTapIn,0.52,0.02558253,-1.924186, ,0
2,6.78,FastTapIn,0.54,0.009313948,-0.8134291, ,0
2,6.8,FastTapIn,0.56,0.01529171,0.2988879, ,0
2,6.82,FastTapIn,0.58,0.02115324,0.2930767, ,0
2,6.84,FastTapIn,0.6,0.007031409,-0.7060916, ,0
2,6.86,FastTapIn,0.6199999,0.01612965,0.4549123, ,0
2,6.88,FastTapIn,0.6399999,0.001631937,-0.7248859, ,0
2,6.9,FastTapIn,0.6599999,0.02008593,0.9226999, ,0
2,6.92,FastTapIn,0.6799999,0.02051147,0.021277, ,0
2,6.94,FastTapIn,0.6999999,0.03251445,0.6001487, ,0
2,6.96,FastTapIn,0.7199998,0.005678782,-1.341783, ,0
2,6.98,FastTapIn,0.7399998,0.02623055,1.027589, ,0
2,7,FastTapIn,0.7599998,0.03102954,0.2399491, ,0
2,7.02,FastTapIn,0.7799998,0.02202723,-0.4501154, ,0
2,7.04,FastTapIn,0.7999998,0.01078072,-0.5623255, ,0
2,7.06,FastTapIn,0.8199998,0.008068131,-0.1356293, ,0
2,7.08,FastTapIn,0.8399997,0.006808579,-0.06297764, ,0
2,7.1,FastTapIn,0.8599997,0.01540237,0.4296896, ,0
2,7.12,FastTapIn,0.8799997,0.01376377,-0.08193017, ,0
2,7.14,FastTapIn,0.8999997,0.02821819,0.722721, ,0
2,7.16,FastTapIn,0.9199997,0.01540273,-0.6407729, ,0
2,7.18,FastTapIn,0.9399996,0.01654161,0.05694381, ,0
2,7.2,FastTapIn,0.9599996,0.008395697,-0.4072954, ,0
2,7.22,FastTapIn,0.9799996,0.0145329,0.3068601, ,0
2,7.24,FastTapIn,0.9999996,0.007172293,-0.3680303, ,0
2,7.26,FastTapIn,1.02,0.006409642,-0.03813254, ,0
2,7.28,FastTapIn,1.04,0.04603721,1.981379, ,0
2,7.3,FastTapIn,1.06,0.02139529,-1.232096, ,0
2,7.32,FastTapIn,1.08,0.03462955,0.6617132, ,0
2,7.34,FastTapIn,1.1,0.01215049,-1.123953, ,0
2,7.36,FastTapIn,1.12,0.01356127,0.07053935, ,0
2,7.38,FastTapIn,1.14,0.008777248,-0.2392012, ,0
2,7.4,FastTapIn,1.159999,0.02329306,0.7257907, ,0
2,7.42,FastTapIn,1.179999,0.0157381,-0.3777479, ,0
2,7.44,FastTapIn,1.199999,0.01146584,-0.2136134, ,0
2,7.46,FastTapIn,1.219999,0.02377701,0.6155589, ,0
2,7.48,FastTapIn,1.239999,0.01545907,-0.4158973, ,0
2,7.5,FastTapIn,1.259999,0.0195415,0.2041217, ,0
2,7.52,FastTapIn,1.279999,0.0134964,-0.3022549, ,0
2,7.54,FastTapIn,1.299999,0.01098774,-0.1254334, ,0
2,7.56,FastTapIn,1.319999,0.004292909,-0.3347414, ,0
2,7.58,FastTapIn,1.339999,0.01305075,0.4378921, ,0
2,7.6,FastTapIn,1.359999,0.0173727,0.2160975, ,0
2,7.62,FastTapIn,1.379999,0.008012723,-0.4679988, ,0
2,7.64,FastTapIn,1.399999,0.02216859,0.7077934, ,0
2,7.66,FastTapIn,1.419999,0.01163892,-0.5264834, ,0
2,7.68,FastTapIn,1.439999,0.04281793,1.55895, ,0
2,7.7,FastTapIn,1.459999,0.02265185,-1.008304, ,0
2,7.72,FastTapIn,1.479999,0.01872609,-0.1962882, ,0
2,7.74,FastTapIn,1.499999,0.02909956,0.5186733, ,0
2,7.76,FastTapIn,1.519999,0.01230493,-0.8397315, ,0
2,7.78,FastTapIn,1.539999,0.01881965,0.3257363, ,0
2,7.8,FastTapIn,1.559999,0.01867998,-0.006983522, ,0
2,7.82,FastTapIn,1.579999,0.02226673,0.1793374, ,0
2,7.84,FastTapIn,1.599999,0.02060793,-0.08293996, ,0
2,7.86,FastTapIn,1.619999,0.04544524,1.241866, ,0
2,7.88,FastTapIn,1.639999,0.01708323,-1.418101, ,0
2,7.9,FastTapIn,1.659999,0.02137911,0.2147943, ,0
2,7.92,FastTapIn,1.679999,0.03652685,0.7573869, ,0
2,7.94,FastTapIn,1.699999,0.004555996,-1.598543, ,0
2,7.96,FastTapIn,1.719999,0.03856544,1.700472, ,0
2,7.98,FastTapIn,1.739999,0.007227351,-1.566904, ,0
2,8,FastTapIn,1.759999,0.0104589,0.1615773, ,0
2,8.02,FastTapIn,1.779999,0.004637448,-0.2910725, ,0
2,8.04,FastTapIn,1.799999,0.003609732,-0.05138579, ,0
2,8.059999,FastTapIn,1.819999,0.03613774,1.6264, ,0
2,8.08,FastTapIn,1.839999,0.02046345,-0.7837144, ,0
2,8.099999,FastTapIn,1.859999,0.03582664,0.7681593, ,0
2,8.12,FastTapIn,1.879999,0.01842828,-0.8699179, ,0
2,8.139999,FastTapIn,1.899999,0.02846382,0.5017769, ,0
2,8.16,FastTapIn,1.919999,0.01159122,-0.84363, ,0
2,8.179999,FastTapIn,1.939999,0.02419051,0.6299646, ,0
2,8.2,FastTapIn,1.959999,0.05152667,1.366808, ,0
2,8.22,FastTapIn,1.979999,0.01267049,-1.942809, ,0
2,8.24,FastTapIn,1.999999,0.01393324,0.06313752, ,0
2,8.26,FastTapIn,2.019999,0.0122319,-0.08506706, ,0
2,8.28,FastTapIn,2.039999,0.02202722,0.4897662, ,0
2,8.3,FastTapIn,2.059999,0.03716164,0.7567207, ,0
2,8.32,FastTapIn,2.079999,0.03688946,-0.01360886, ,0
2,8.34,FastTapIn,2.099999,0.01109721,-1.289612, ,0
2,8.36,FastTapIn,2.119999,0.01019506,-0.04510782, ,0
2,8.38,FastTapIn,2.139999,0.03479069,1.229782, ,0
2,8.4,FastTapIn,2.159999,0.01596204,-0.9414326, ,0
2,8.42,FastTapIn,2.179999,0.05934631,2.169214, ,0
2,8.44,FastTapIn,2.199999,0.02166664,-1.883984, ,0
2,8.46,FastTapIn,2.219999,0.03421555,0.6274459, ,0
2,8.48,FastTapIn,2.239999,0.01390424,-1.015566, ,0
2,8.5,FastTapIn,2.259999,0.01329254,-0.03058496, ,0
2,8.52,FastTapIn,2.279999,0.04191305,1.431026, ,0
2,8.54,FastTapIn,2.299999,0.01630266,-1.28052, ,0
2,8.559999,FastTapIn,2.319999,0.02969329,0.6695316, ,0
2,8.58,FastTapIn,2.339998,0.02148295,-0.4105169, ,0
2,8.599999,FastTapIn,2.359998,0.04257698,1.054701, ,0
2,8.62,FastTapIn,2.379998,0.01956317,-1.150691, ,0
2,8.639999,FastTapIn,2.399998,0.01583549,-0.186384, ,0
2,8.66,FastTapIn,2.419998,0.01083713,-0.2499176, ,0
2,8.679999,FastTapIn,2.439998,0.01165099,0.04069274, ,0
2,8.7,FastTapIn,2.459998,0.02488,0.6614503, ,0
2,8.72,FastTapIn,2.479998,0.01469012,-0.5094939, ,0
2,8.74,FastTapIn,2.499998,0.03589854,1.060421, ,0
2,8.76,FastTapIn,2.519998,0.01701489,-0.9441824, ,0
2,8.78,FastTapIn,2.539998,0.0364965,0.9740804, ,0
2,8.8,FastTapIn,2.559998,0.01441775,-1.103938, ,0
2,8.82,FastTapIn,2.579998,0.01320206,-0.06078407, ,0
2,8.84,FastTapIn,2.599998,0.03242523,0.9611583, ,0
2,8.86,FastTapIn,2.619998,0.01196238,-1.023142, ,0
2,8.88,FastTapIn,2.639998,0.01581594,0.1926781, ,0
2,8.9,FastTapIn,2.659998,0.01048821,-0.2663866, ,0
2,8.92,FastTapIn,2.679998,0.006208726,-0.2139743, ,0
2,8.94,FastTapIn,2.699998,0.01935804,0.6574658, ,0
2,8.96,FastTapIn,2.719998,0.01566909,-0.1844475, ,0
2,8.98,FastTapIn,2.739998,0.03401477,0.9172838, ,0
2,9,FastTapIn,2.759998,0.01178044,-1.111716, ,0
2,9.02,FastTapIn,2.779998,0.01589136,0.2055462, ,0
2,9.04,FastTapIn,2.799998,0.02326134,0.368499, ,0
2,9.059999,FastTapIn,2.819998,0.02269675,-0.0282295, ,0
2,9.08,FastTapIn,2.839998,0.01313148,-0.4782635, ,0
2,9.099999,FastTapIn,2.859998,0.01092863,-0.1101424, ,0
2,9.12,FastTapIn,2.879998,0.007270921,-0.1828855, ,0
2,9.139999,FastTapIn,2.899998,0.007827803,0.0278441, ,0
2,9.16,FastTapIn,2.919998,0.03958653,1.587936, ,0
2,9.179999,FastTapIn,2.939998,0.006103979,-1.674128, ,0
2,9.2,FastTapIn,2.959998,0.04764961,2.077281, ,0
2,9.22,FastTapIn,2.979998,0.0208781,-1.338576, ,0
2,9.24,FastTapIn,2.999998,0.02032193,-0.02780827, ,0
2,9.26,FastTapIn,3.019998,0.06165624,2.066716, ,0
2,9.28,FastTapIn,3.039998,0.01016637,-2.574494, ,0
2,9.3,FastTapIn,3.059998,0.02023755,0.5035588, ,0
