Number,Case,Min,Mean,Max
Execute,1,-55.26377,-3.7967282612514284,-0.003109686
Execute,2,-59.8631,-4.307960033503184,-0.01679249
Execute,3,-60.73265,-3.809623501965318,-0.00502402
Execute,4,-43.74566,-3.99909732521677,-0.0004562549
Execute,5,-41.26519,-4.05864102515625,-0.003740541
Execute,6,-58.17603,-4.93525144354375,-0.00309702
Execute,7,-42.29776,-4.787073397333334,-0.01234249
Execute,8,-42.58562,-4.112414927205882,-0.003763149
Execute,9,-28.76298,-4.22987845551282,-0.03149547
Execute,10,-55.44963,-4.989414716657896,-0.005824212
