Number,Case,Acceleration
Execute,1,-3.664041
Execute,1,-2.734504
Execute,1,-0.9016954
Execute,1,-2.036603
Execute,1,-0.4366547
Execute,1,-1.555214
Execute,1,-1.850402
Execute,2,-10.65499
Execute,2,-6.820287
Execute,2,-2.731321
Execute,2,-2.431023
Execute,2,-4.788443
Execute,2,-0.5254987
Execute,2,-3.110338
Execute,2,-0.2339995
Execute,2,-0.9817226
Execute,2,-4.216556
Execute,2,-7.557151
Execute,3,-14.65877
Execute,3,-17.04335
Execute,3,-9.986197
Execute,3,-1.259611
Execute,3,-5.23609
Execute,3,-0.954509
Execute,3,-2.442258
Execute,3,-1.906516
Execute,3,-0.7988913
Execute,3,-0.09967647
Execute,3,-1.83784
Execute,4,-2.671321
Execute,4,-0.2575805
Execute,4,-3.457068
Execute,4,-4.114896
Execute,4,-3.413277
Execute,4,-0.9114566
Execute,4,-0.01078525
Execute,4,-1.441899
Execute,4,-1.166227
Execute,4,-2.326408
Execute,5,-0.6009534
Execute,5,-3.279436
Execute,5,-6.648216
Execute,5,-0.04470255
Execute,5,-3.146274
Execute,5,-2.447021
Execute,5,-4.365505
Execute,5,-1.278977
Execute,5,-1.359508
Execute,5,-0.3114699
Execute,5,-1.988157
Execute,5,-0.1141485
Execute,6,-0.7946789
Execute,6,-4.566966
Execute,6,-0.008580275
Execute,6,-2.017092
Execute,6,-1.278695
Execute,6,-1.177447
Execute,6,-0.05245553
Execute,6,-3.913506
Execute,6,-2.160781
Execute,6,-0.8974714
Execute,6,-2.341635
Execute,6,-0.2855083
Execute,6,-2.451388
Execute,6,-0.1297528
Execute,6,-0.9874435
Execute,7,-4.555331
Execute,7,-5.408387
Execute,7,-1.507429
Execute,7,-0.8729593
Execute,7,-1.479492
Execute,7,-1.703074
Execute,7,-1.37544
Execute,7,-0.06476529
Execute,7,-2.189463
Execute,7,-9.405727
Execute,8,-7.480625
Execute,8,-7.059242
Execute,8,-2.106844
Execute,8,-6.382657
Execute,8,-1.282313
Execute,8,-0.2948083
Execute,8,-2.510672
Execute,8,-0.01673475
Execute,8,-1.038713
Execute,8,-2.520954
Execute,8,-5.159446
Execute,8,-1.595324
Execute,8,-0.2300501
Execute,9,-8.799068
Execute,9,-4.771708
Execute,9,-2.910044
Execute,9,-1.99614
Execute,9,-1.851489
Execute,9,-1.706429
Execute,9,-2.190501
Execute,9,-2.996051
Execute,9,-6.020817
Execute,10,-3.902865
Execute,10,-8.766353
Execute,10,-6.065047
Execute,10,-3.724139
Execute,10,-0.572382
Execute,10,-0.1041664
Execute,10,-0.5779566
Execute,10,-3.363584
Execute,10,-0.2454676
Execute,10,-3.331187
Execute,1,-5.10183
Execute,1,-0.06910712
Execute,1,-11.25666
Execute,1,-5.928126
Execute,1,-0.08982196
Execute,1,-7.354247
Execute,1,-9.370575
Execute,1,-2.020144
Execute,1,-0.9126894
Execute,1,-2.443428
Execute,1,-0.2696425
Execute,1,-11.19186
Execute,2,-3.403349
Execute,2,-3.912125
Execute,2,-3.35403
Execute,2,-2.855504
Execute,2,-0.8290542
Execute,2,-0.2224012
Execute,2,-1.469185
Execute,2,-1.789392
Execute,3,-8.066351
Execute,3,-4.413465
Execute,3,-0.8432403
Execute,3,-0.4873426
Execute,3,-1.955771
Execute,3,-0.07333905
Execute,4,-4.338618
Execute,4,-3.153504
Execute,4,-3.902682
Execute,4,-0.04328825
Execute,4,-0.9775249
Execute,4,-0.4321806
Execute,5,-8.166728
Execute,5,-10.20683
Execute,5,-3.049004
Execute,5,-1.999154
Execute,5,-1.3485
Execute,5,-0.2472333
Execute,5,-2.249002
Execute,6,-6.050169
Execute,6,-2.033806
Execute,6,-6.156843
Execute,6,-3.415935
Execute,6,-0.1066339
Execute,6,-0.3568599
Execute,7,-11.69588
Execute,7,-14.36018
Execute,7,-19.19397
Execute,7,-0.4287856
Execute,7,-16.93609
Execute,7,-10.01954
Execute,7,-0.4774503
Execute,8,-6.53778
Execute,8,-5.229739
Execute,8,-0.7516831
Execute,8,-6.812821
Execute,8,-3.338215
Execute,8,-3.704017
Execute,8,-2.313363
Execute,8,-0.7056572
Execute,8,-0.1099051
Execute,8,-1.590835
Execute,8,-2.619002
Execute,8,-3.575611
Execute,8,-0.03417274
Execute,8,-1.272683
Execute,8,-1.519392
Execute,8,-0.7418064
Execute,8,-2.809911
Execute,9,-4.926276
Execute,9,-2.79183
Execute,9,-1.640147
Execute,9,-2.309099
Execute,9,-2.952247
Execute,9,-4.548025
Execute,9,-4.69954
Execute,9,-2.675967
Execute,9,-0.7959735
Execute,9,-0.1080092
Execute,9,-1.195695
Execute,9,-0.3432013
Execute,9,-6.732919
Execute,10,-3.939708
Execute,10,-4.514882
Execute,10,-3.128611
Execute,10,-3.005014
Execute,10,-3.110023
Execute,10,-2.269455
Execute,10,-1.044869
Execute,10,-2.088153
Execute,1,-2.223197
Execute,1,-7.590741
Execute,1,-5.458756
Execute,1,-2.204879
Execute,1,-0.004047714
Execute,1,-0.5852633
Execute,1,-3.631981
Execute,2,-0.1036547
Execute,2,-7.377447
Execute,2,-7.95557
Execute,2,-8.577823
Execute,2,-2.208896
Execute,2,-1.421088
Execute,2,-7.298182
Execute,3,-0.4046351
Execute,3,-3.652062
Execute,3,-3.394455
Execute,3,-1.800694
Execute,3,-4.708502
Execute,3,-0.3754586
Execute,4,-18.74706
Execute,4,-4.689199
Execute,4,-4.597859
Execute,5,-2.630695
Execute,5,-3.293724
Execute,5,-2.368106
Execute,6,-15.68282
Execute,6,-15.01797
Execute,6,-7.048456
Execute,6,-2.074148
Execute,7,-6.068212
Execute,7,-3.181577
Execute,7,-1.468314
Execute,7,-1.430216
Execute,7,-5.475603
Execute,7,-0.2036918
Execute,7,-4.009977
Execute,8,-12.32471
Execute,8,-11.78855
Execute,8,-3.301353
Execute,8,-3.020431
Execute,8,-7.202274
Execute,9,-5.32413
Execute,9,-8.907619
Execute,9,-0.330396
Execute,10,-12.33854
Execute,10,-20.03963
Execute,10,-8.734936
Execute,10,-0.6936813
Execute,1,-0.1328051
Execute,1,-3.487635
Execute,1,-1.89366
Execute,1,-1.311228
Execute,1,-0.02021948
Execute,1,-1.170274
Execute,1,-1.255306
Execute,1,-0.1198718
Execute,1,-1.262536
Execute,1,-2.038146
Execute,2,-5.959412
Execute,2,-4.010232
Execute,2,-0.6747867
Execute,2,-2.957469
Execute,2,-0.4947465
Execute,2,-0.8360824
Execute,2,-0.3061673
Execute,2,-3.335918
Execute,2,-2.072316
Execute,2,-3.015744
Execute,2,-0.1102377
Execute,3,-0.01025125
Execute,3,-3.250341
Execute,3,-2.130751
Execute,3,-0.7064872
Execute,3,-0.6478376
Execute,3,-1.478622
Execute,3,-0.848732
Execute,3,-1.175327
Execute,3,-0.5173633
Execute,3,-2.007936
Execute,4,-8.518216
Execute,4,-2.062551
Execute,4,-7.395535
Execute,4,-3.196868
Execute,4,-2.00985
Execute,4,-2.252392
Execute,4,-0.1046237
Execute,4,-1.688252
Execute,4,-7.41366
Execute,5,-8.034155
Execute,5,-7.004988
Execute,5,-0.1571767
Execute,5,-6.785083
Execute,5,-4.187136
Execute,5,-3.290758
Execute,5,-0.4440039
Execute,5,-0.05203607
Execute,5,-0.6546214
Execute,5,-7.159663
Execute,6,-11.782
Execute,6,-13.39049
Execute,6,-2.461153
Execute,6,-7.822569
Execute,6,-2.846575
Execute,6,-0.5072446
Execute,6,-0.7801121
Execute,6,-0.9491928
Execute,6,-6.598784
Execute,6,-8.167584
Execute,7,-9.904052
Execute,7,-7.447073
Execute,7,-8.300142
Execute,7,-1.838528
Execute,7,-0.9561013
Execute,7,-0.2631918
Execute,7,-1.09377
Execute,7,-1.12765
Execute,8,-4.217939
Execute,8,-6.760036
Execute,8,-5.229211
Execute,8,-0.009058416
Execute,8,-8.260228
Execute,8,-5.001952
Execute,8,-1.592389
Execute,8,-0.388322
Execute,8,-3.464905
Execute,8,-8.125094
