Number,Case,Acceleration
Execute,1,-3.664041
Execute,1,-2.734504
Execute,1,-0.9016954
Execute,1,-2.036603
Execute,1,-0.4366547
Execute,1,-1.555214
Execute,1,-1.850402
Execute,2,-6.820287
Execute,2,-2.731321
Execute,2,-2.431023
Execute,2,-4.788443
Execute,2,-0.5254987
Execute,2,-3.110338
Execute,2,-0.2339995
Execute,2,-0.9817226
Execute,2,-4.216556
Execute,3,-1.259611
Execute,3,-0.954509
Execute,3,-2.442258
Execute,3,-1.906516
Execute,3,-0.7988913
Execute,3,-0.09967647
Execute,3,-1.83784
Execute,4,-2.671321
Execute,4,-0.2575805
Execute,4,-3.457068
Execute,4,-4.114896
Execute,4,-3.413277
Execute,4,-0.9114566
Execute,4,-0.01078525
Execute,4,-1.441899
Execute,4,-1.166227
Execute,4,-2.326408
Execute,5,-0.6009534
Execute,5,-3.279436
Execute,5,-0.04470255
Execute,5,-3.146274
Execute,5,-2.447021
Execute,5,-4.365505
Execute,5,-1.278977
Execute,5,-1.359508
Execute,5,-0.3114699
Execute,5,-1.988157
Execute,5,-0.1141485
Execute,6,-0.7946789
Execute,6,-0.008580275
Execute,6,-2.017092
Execute,6,-1.278695
Execute,6,-1.177447
Execute,6,-0.05245553
Execute,6,-3.913506
Execute,6,-2.160781
Execute,6,-0.8974714
Execute,6,-2.341635
Execute,6,-0.2855083
Execute,6,-2.451388
Execute,6,-0.1297528
Execute,6,-0.9874435
Execute,7,-1.507429
Execute,7,-0.8729593
Execute,7,-1.479492
Execute,7,-1.703074
Execute,7,-1.37544
Execute,7,-0.06476529
Execute,7,-2.189463
Execute,8,-2.106844
Execute,8,-1.282313
Execute,8,-0.2948083
Execute,8,-2.510672
Execute,8,-0.01673475
Execute,8,-1.038713
Execute,8,-2.520954
Execute,8,-5.159446
Execute,8,-1.595324
Execute,8,-0.2300501
Execute,9,-4.771708
Execute,9,-2.910044
Execute,9,-1.99614
Execute,9,-1.851489
Execute,9,-1.706429
Execute,9,-2.190501
Execute,9,-2.996051
Execute,10,-3.902865
Execute,10,-6.065047
Execute,10,-3.724139
Execute,10,-0.572382
Execute,10,-0.1041664
Execute,10,-0.5779566
Execute,10,-3.363584
Execute,10,-0.2454676
Execute,10,-3.331187
Execute,1,-2.223197
Execute,1,-2.204879
Execute,1,-0.004047714
Execute,1,-0.5852633
Execute,1,-3.631981
Execute,2,-0.1036547
Execute,2,-7.377447
Execute,2,-7.95557
Execute,2,-8.577823
Execute,2,-2.208896
Execute,2,-1.421088
Execute,2,-7.298182
Execute,3,-0.4046351
Execute,3,-3.652062
Execute,3,-3.394455
Execute,3,-1.800694
Execute,3,-4.708502
Execute,3,-0.3754586
Execute,4,-4.689199
Execute,4,-4.597859
Execute,5,-2.630695
Execute,5,-2.368106
Execute,6,-15.68282
Execute,6,-15.01797
Execute,6,-7.048456
Execute,6,-2.074148
Execute,7,-6.068212
Execute,7,-3.181577
Execute,7,-1.468314
Execute,7,-1.430216
Execute,7,-5.475603
Execute,7,-0.2036918
Execute,7,-4.009977
Execute,8,-12.32471
Execute,8,-11.78855
Execute,8,-3.301353
Execute,8,-3.020431
Execute,8,-7.202274
Execute,9,-5.32413
Execute,9,-8.907619
Execute,9,-0.330396
Execute,10,-12.33854
Execute,10,-20.03963
Execute,10,-8.734936
Execute,10,-0.6936813
Execute,1,-0.1328051
Execute,1,-1.89366
Execute,1,-1.311228
Execute,1,-0.02021948
Execute,1,-1.170274
Execute,1,-1.255306
Execute,1,-0.1198718
Execute,1,-1.262536
Execute,1,-2.038146
Execute,2,-5.959412
Execute,2,-4.010232
Execute,2,-0.6747867
Execute,2,-2.957469
Execute,2,-0.4947465
Execute,2,-0.8360824
Execute,2,-0.3061673
Execute,2,-3.335918
Execute,2,-2.072316
Execute,2,-3.015744
Execute,2,-0.1102377
Execute,3,-0.01025125
Execute,3,-2.130751
Execute,3,-0.7064872
Execute,3,-0.6478376
Execute,3,-1.478622
Execute,3,-0.848732
Execute,3,-1.175327
Execute,3,-0.5173633
Execute,3,-2.007936
Execute,4,-2.062551
Execute,4,-3.196868
Execute,4,-2.00985
Execute,4,-2.252392
Execute,4,-0.1046237
Execute,4,-1.688252
Execute,5,-8.034155
Execute,5,-7.004988
Execute,5,-0.1571767
Execute,5,-6.785083
Execute,5,-4.187136
Execute,5,-3.290758
Execute,5,-0.4440039
Execute,5,-0.05203607
Execute,5,-0.6546214
Execute,5,-7.159663
Execute,6,-2.461153
Execute,6,-7.822569
Execute,6,-2.846575
Execute,6,-0.5072446
Execute,6,-0.7801121
Execute,6,-0.9491928
Execute,6,-6.598784
Execute,6,-8.167584
Execute,7,-1.838528
Execute,7,-0.9561013
Execute,7,-0.2631918
Execute,7,-1.09377
Execute,7,-1.12765
Execute,8,-4.217939
Execute,8,-6.760036
Execute,8,-5.229211
Execute,8,-0.009058416
Execute,8,-8.260228
Execute,8,-5.001952
Execute,8,-1.592389
Execute,8,-0.388322
Execute,8,-3.464905
Execute,8,-8.125094
Execute,8,-9.503693
Execute,9,-5.817435
Execute,9,-2.948091
Execute,9,-0.3406357
Execute,9,-2.372195
Execute,9,-0.2670377
Execute,9,-4.34921
Execute,10,-8.122447
Execute,10,-0.1097284
Execute,10,-3.18175
Execute,10,-6.194354
Execute,10,-1.557805
Execute,10,-0.06680116
Execute,10,-0.2491299
Execute,10,-5.665205
Execute,10,-9.75417
Execute,1,-9.314
Execute,1,-2.043048
Execute,1,-6.796588
Execute,1,-6.297866
Execute,1,-8.425657
Execute,1,-6.459153
Execute,1,-0.03354512
Execute,1,-2.383822
Execute,1,-1.544398
Execute,1,-9.398838
Execute,1,-5.504441
Execute,2,-4.617605
Execute,2,-2.299229
Execute,2,-4.543966
Execute,2,-0.6509531
Execute,2,-2.546729
Execute,2,-1.82526
Execute,2,-0.04133619
Execute,2,-0.4690264
Execute,2,-1.907325
Execute,2,-0.45605
Execute,3,-0.1088277
Execute,3,-0.7817455
Execute,3,-2.413098
Execute,3,-0.1467221
Execute,3,-2.316616
Execute,3,-1.456454
Execute,3,-0.5903497
Execute,3,-0.1233535
Execute,3,-0.454181
Execute,3,-0.3937705
Execute,3,-1.189035
Execute,4,-2.653817
Execute,4,-0.8985261
Execute,4,-0.441424
Execute,4,-1.257355
Execute,4,-0.14845
Execute,4,-1.667665
Execute,4,-0.2152478
Execute,4,-0.6269419
Execute,4,-0.2111159
Execute,4,-1.292378
Execute,5,-1.732747
Execute,5,-0.3534257
Execute,5,-4.579155
Execute,5,-0.04544593
Execute,5,-2.557851
Execute,5,-0.8415169
Execute,5,-1.488327
Execute,5,-0.6442704
Execute,6,-0.04627407
Execute,6,-3.356511
Execute,6,-1.971071
Execute,6,-0.2596349
Execute,6,-1.323248
Execute,6,-2.131326
Execute,6,-2.606436
Execute,6,-2.923759
Execute,6,-3.670278
Execute,6,-2.79087
Execute,6,-0.1508459
Execute,6,-2.136912
Execute,7,-7.86762
Execute,7,-5.044756
Execute,7,-2.029454
Execute,7,-0.8103455
Execute,7,-1.08311
Execute,7,-2.273296
Execute,7,-5.713402
Execute,7,-0.1779366
Execute,7,-6.390753
Execute,8,-1.790971
Execute,8,-3.242048
Execute,8,-1.479236
Execute,8,-2.623328
Execute,8,-1.329064
Execute,8,-1.489456
Execute,8,-2.237374
Execute,8,-2.04512
Execute,8,-0.02553798
Execute,8,-2.383848
Execute,8,-1.227941
Execute,8,-3.379026
Execute,8,-0.0563357
Execute,9,-1.169211
Execute,9,-1.307474
Execute,9,-0.9977661
Execute,9,-0.149242
Execute,9,-1.844865
Execute,9,-1.888072
Execute,9,-0.6873912
Execute,9,-2.395252
Execute,9,-1.238102
Execute,9,-1.219611
Execute,10,-3.319043
Execute,10,-4.017723
Execute,10,-1.82269
Execute,10,-1.777522
Execute,10,-0.1085469
Execute,10,-3.651473
Execute,10,-2.737009
Execute,10,-4.692771
