Number,Case,Min,Mean,Max
1,10,-41.01543,-10.024086428571428,-3.331187
1,11,-13.98871,-6.409307999999999,-2.201226
1,12,-38.08015,-10.561864857142856,-0.902531
1,13,-10.158,-6.0721609999999995,-1.681742
1,14,-22.78609,-10.363413733333335,-0.7278174
1,15,-15.94251,-8.046451383333332,-0.8871503
1,16,-28.86571,-15.416656800000002,-2.464954
1,17,-38.46009,-15.001490200000001,-2.561742
1,18,-16.5661,-7.2642679999999995,-1.411885
1,19,-30.8174,-13.257373750000001,-1.015513
1,20,-17.36981,-11.216501599999999,-1.248558
1,21,-33.82792,-11.527489833333334,-3.769495
1,22,-21.86877,-11.1137335,-6.131498
1,23,-17.66479,-7.626708474999999,-0.7211328
1,24,-14.66203,-7.1874536,-4.342859
1,25,-12.01173,-5.63791168,-0.8376684
1,26,-14.42636,-10.037492199999999,-7.173473
1,27,-19.88795,-19.691345,-19.49474
1,28,-8.613456,-8.613456,-8.613456
1,29,-16.55153,-12.298195,-8.04486
1,30,-24.85685,-20.621646666666667,-12.51024
10,10,-4.514882,-2.887589375,-1.044869
10,11,-5.714791,-3.7795032500000003,-1.498294
10,12,-3.351461,-1.9883613000000004,-0.8428025
10,13,-3.05949,-1.74138118,-0.7745649
10,14,-4.863046,-2.76527296,-0.8059417
10,15,-3.863391,-3.095796,-2.002683
10,16,-4.185883,-1.9665294749999997,-0.7849617
10,17,-3.961766,-3.0001333333333338,-2.190577
10,18,-13.66155,-5.204664875,-1.103269
10,19,-6.021986,-4.160339625,-1.022361
10,20,-5.364143,-2.9221872555555555,-0.9087853
10,21,-15.0657,-9.7101278,-0.9615034
10,22,-21.42101,-17.053459999999998,-14.73803
10,23,-5.886321,-5.886321,-5.886321
10,25,-5.943886,-5.943886,-5.943886
10,26,-7.709552,-7.709552,-7.709552
10,27,-19.72793,-9.6706365,-5.417095
10,28,-12.17949,-12.17949,-12.17949
10,29,-16.55132,-9.003810000000001,-4.766577
10,30,-15.13433,-12.469983,-9.805636
10,31,-9.007618,-5.740165750000001,-3.718531
2,10,-20.03963,-10.451696824999999,-0.6936813
2,11,-4.692307,-4.1086765,-3.525046
2,12,-20.32141,-14.923236500000002,-9.525063
2,13,-4.491657,-3.0309295,-1.570202
2,14,-3.060249,-2.36964575,-1.584765
2,15,-11.1796,-5.59022,-1.356466
2,16,-3.023801,-1.4271652000000001,-0.604605
2,17,-9.695652,-9.695652,-9.695652
2,18,-5.851771,-3.6042644999999998,-0.8118365
2,19,-4.995639,-3.7427973333333333,-2.839902
2,20,-21.60453,-17.730130000000003,-13.26453
2,21,-10.17993,-10.17993,-10.17993
2,22,-62.84535,-51.933965,-41.02258
2,23,-44.20468,-39.78396,-35.36324
2,24,-20.50092,-18.80656,-17.93033
2,25,-25.2373,-25.201990000000002,-25.16668
2,27,-36.98531,-36.98531,-36.98531
2,28,-21.23584,-21.121879999999997,-21.00792
2,29,-17.69694,-17.69694,-17.69694
2,30,-18.64459,-12.705221666666667,-1.303905
3,10,-11.39483,-6.552937285714286,-1.557805
3,11,-20.53592,-14.32767025,-6.501621
3,12,-37.17627,-37.17627,-37.17627
3,13,-22.05357,-22.05357,-22.05357
3,14,-41.17483,-23.063552333333334,-3.252657
3,15,-35.7849,-21.300785666666666,-2.202827
3,16,-50.11342,-26.415353,-2.717286
3,17,-70.27037,-36.0014325,-12.5396
3,18,-18.1447,-11.966229,-6.875287
3,19,-29.73787,-17.744964666666664,-3.005134
3,20,-27.65509,-17.143147,-1.513391
3,21,-36.47118,-36.47118,-36.47118
3,22,-45.26981,-45.26981,-45.26981
3,23,-44.91154,-32.70259,-20.49364
3,25,-20.14374,-20.14374,-20.14374
3,26,-26.1242,-22.360619999999997,-18.59704
3,27,-16.51706,-16.51706,-16.51706
3,28,-20.83468,-20.83468,-20.83468
3,29,-23.05831,-21.150250000000003,-18.82836
3,30,-16.48957,-13.513796999999999,-8.345161
4,10,-12.97113,-5.695211636363637,-1.777522
4,11,-7.442002,-5.395525571428571,-1.860632
4,12,-11.01093,-8.94259,-6.87425
4,13,-10.27884,-7.6188896,-3.183484
4,14,-14.32865,-11.619923333333332,-10.15309
4,15,-17.35094,-9.894733,-1.217133
4,16,-22.63511,-12.613109425,-0.9395477
4,17,-26.37537,-12.43556925,-1.768097
4,18,-29.21176,-16.901405666666665,-6.726387
4,19,-24.91722,-14.535682600000001,-1.398327
4,20,-19.12248,-10.9222082,-1.294848
4,21,-13.42464,-6.669763888888889,-2.690113
4,22,-17.21671,-9.902992333333332,-5.63861
4,23,-10.71163,-5.881671616666666,-0.7960737
4,24,-19.88062,-10.780526077777779,-0.9168267
4,25,-21.14581,-14.388023333333331,-10.96772
4,26,-3.132214,-1.90364365,-0.6750733
4,27,-8.936477,-7.7356300000000005,-6.089601
4,28,-35.37511,-10.973092166666666,-2.833168
4,29,-13.25781,-13.25781,-13.25781
4,30,-16.29514,-11.0096905,-5.724241
5,10,-24.04338,-6.056878095454545,-0.6076987
5,11,-17.62292,-10.2053689,-1.761214
5,12,-15.8864,-5.2035782600000005,-0.6356806
5,13,-16.69241,-6.6726265,-1.302565
5,14,-20.00594,-6.812808408333333,-0.7336464
5,15,-34.88314,-9.9374623,-0.9743743
5,16,-28.46003,-9.309601636363636,-0.861401
5,17,-44.23281,-21.81661677777778,-2.996181
5,18,-12.0971,-7.154877745454548,-0.9813972
5,19,-19.98256,-8.77628642857143,-2.067069
5,20,-26.11128,-14.664602428571428,-3.609509
5,21,-25.42843,-8.6318245,-1.243762
5,22,-30.26283,-11.245320833333333,-1.631987
5,23,-35.30996,-10.828346142857145,-1.739729
5,24,-18.16119,-5.546103076923076,-1.19205
5,25,-21.76288,-9.778013499999998,-1.165992
5,26,-27.96706,-7.530424000000001,-1.291232
5,27,-27.52423,-10.688572462499998,-0.7779707
5,28,-40.81332,-12.369159030000002,-0.8146352
5,29,-28.77423,-11.3666886,-1.08972
5,30,-28.64709,-6.798955609999998,-0.5878359
6,10,-27.47185,-5.804030783333332,-0.6437646
6,11,-23.54643,-10.056304666666668,-2.597019
6,12,-10.13788,-4.8095075,-1.712992
6,13,-15.58576,-8.54341775,-4.381209
6,14,-40.05648,-17.664869333333336,-1.728786
6,15,-11.84831,-7.012692366666665,-0.9023972
6,16,-12.27262,-6.932169400000001,-3.622662
6,17,-23.66051,-10.535808666666666,-2.62825
6,18,-14.73891,-10.00629175,-3.225417
6,19,-17.9004,-13.265205000000002,-8.63001
6,20,-15.01846,-7.189499571428571,-1.527189
6,21,-39.77598,-21.733327499999998,-3.690675
6,22,-22.55943,-22.250679999999996,-21.94193
6,23,-26.5186,-23.91782,-21.31704
6,24,-55.07862,-38.89608,-22.71354
6,25,-31.07206,-18.5354049,-0.6754547
6,26,-33.20055,-27.445394999999998,-21.69024
6,27,-74.17915,-51.01109,-27.84303
6,28,-51.98399,-51.98399,-51.98399
6,29,-16.32526,-15.291625,-14.25799
6,30,-39.9847,-22.8131125,-11.10377
6,31,-19.61238,-11.100127400000002,-6.078192
6,32,-15.38414,-12.10523175,-8.388937
6,33,-12.57213,-11.638258000000002,-10.28597
6,34,-15.83938,-12.9582368,-9.538504
6,35,-44.59418,-22.535672,-10.79605
6,36,-14.65654,-10.452866,-8.716006
6,37,-14.42658,-8.968347285714286,-1.44901
6,38,-13.70531,-12.2008885,-6.280521
6,39,-8.927397,-7.3914462499999996,-5.112792
6,40,-11.20194,-6.581676333333333,-3.007348
7,10,-55.44963,-19.692219883333333,-0.7989213
7,11,-49.75446,-27.0759665,-9.452186
7,12,-50.85559,-47.310975,-43.76636
7,13,-25.72813,-25.72813,-25.72813
7,14,-29.75848,-18.888615333333334,-7.799796
7,15,-7.462612,-3.7525506000000006,-0.8926928
7,16,-162.0376,-117.17529666666667,-78.28169
7,17,-120.9565,-80.24317,-39.52984
7,18,-19.13562,-9.1116824,-0.7937372
7,19,-67.62568,-32.77131633333334,-9.985769
7,20,-63.70302,-32.70314666666667,-16.33824
7,21,-64.42326,-64.42326,-64.42326
7,22,-1967.156,-984.4039045,-1.651809
7,23,-41.98491,-41.98491,-41.98491
7,24,-30.91045,-14.3911115,-0.8321345
7,25,-36.16332,-35.96543,-35.76754
7,26,-79.91708,-79.91708,-79.91708
7,27,-2.682024,-1.78231885,-0.8826137
7,28,-13.2963,-7.5927705,-1.889241
7,30,-59.84637,-59.84637,-59.84637
8,10,-32.49551,-5.933625081250001,-0.6269835
8,11,-48.1392,-23.05354475,-8.217769
8,12,-60.88904,-14.486339233333334,-0.8063614
8,13,-36.01058,-19.39812,-11.07752
8,14,-36.22362,-11.968721414285715,-0.6549769
8,15,-29.24294,-19.623307,-2.188541
8,16,-44.82946,-17.007449199999996,-3.254396
8,17,-22.60105,-12.65865525,-4.926811
8,18,-42.65805,-18.510941000000003,-1.600706
8,19,-38.16912,-22.39195,-11.04082
8,20,-38.02964,-15.017447599999997,-1.415825
8,21,-34.41182,-34.41182,-34.41182
8,22,-36.04124,-36.04124,-36.04124
8,23,-54.09985,-54.09985,-54.09985
8,24,-40.93219,-40.93219,-40.93219
8,25,-42.38517,-29.606740000000002,-16.82831
8,26,-43.1027,-16.304217866666665,-0.8910596
8,27,-31.16859,-31.16859,-31.16859
8,28,-53.32242,-27.3202915,-1.318163
8,29,-22.02473,-21.67415,-21.32357
8,30,-29.83771,-16.943642000000004,-10.74278
9,10,-18.67455,-5.940382893333334,-0.7712284
9,11,-20.45589,-12.989081399999998,-2.761248
9,12,-30.60492,-15.691424399999999,-2.228061
9,13,-23.20379,-16.11535275,-7.747701
9,14,-23.86212,-8.760012483333336,-0.9767989
9,15,-21.13201,-9.403077833333333,-1.558438
9,16,-19.11701,-11.354647333333332,-4.250718
9,17,-63.69257,-23.168145157142856,-0.9061711
9,18,-28.63702,-13.237199571428572,-4.535993
9,19,-24.18624,-14.995486199999998,-3.180681
9,20,-24.93884,-14.691176166666665,-6.868527
9,21,-40.15157,-22.0110285,-3.870487
9,22,-29.60496,-26.791379999999997,-23.9778
9,23,-43.22074,-24.856887500000003,-6.493035
9,24,-36.16758,-25.771465,-15.37535
9,25,-42.81401,-38.229005,-33.644
9,26,-22.89603,-22.89603,-22.89603
9,27,-60.28482,-60.28482,-60.28482
9,28,-28.16541,-14.77716,-1.38891
9,29,-42.74899,-39.44162,-36.13425
9,30,-40.28727,-20.257694333333333,-1.276043
