Number,Case,Acceleration
1,11,-13.98871
1,11,-2.201226
1,11,-3.037988
1,12,-2.623502
1,12,-13.7748
1,12,-7.012846
1,12,-5.0737
1,12,-0.902531
1,12,-6.465525
1,12,-38.08015
1,13,-8.563364
1,13,-10.158
1,13,-3.977021
1,13,-1.681742
1,13,-5.980678
1,14,-22.78609
1,14,-14.01547
1,14,-12.17337
1,14,-5.944248
1,14,-6.533487
1,14,-0.7278174
1,15,-15.75186
1,15,-15.94251
1,15,-2.775305
1,15,-3.319741
1,15,-0.8871503
1,15,-9.602142
1,16,-15.82551
1,16,-28.86571
1,16,-19.54873
1,16,-2.464954
1,16,-10.37838
1,17,-38.46009
1,17,-26.48913
1,17,-2.561742
1,17,-2.996051
1,17,-4.500438
1,18,-16.5661
1,18,-9.265293
1,18,-1.411885
1,18,-1.813794
1,19,-13.58877
1,19,-30.8174
1,19,-1.015513
1,19,-7.607812
1,20,-17.36981
1,20,-17.08794
1,20,-1.248558
1,20,-5.12243
1,20,-15.25377
1,21,-33.82792
1,21,-14.29551
1,21,-4.570796
1,21,-3.769495
1,21,-3.798414
1,21,-8.902804
1,22,-21.86877
1,22,-6.131498
1,22,-9.895288
1,22,-6.559378
1,23,-17.61592
1,23,-3.059781
1,23,-0.7211328
1,23,-16.86715
1,23,-2.000007
1,23,-1.508422
1,23,-1.576465
1,23,-17.66479
1,24,-14.66203
1,24,-5.453545
1,24,-6.358688
1,24,-5.120146
1,24,-4.342859
1,25,-12.01173
1,25,-5.678426
1,25,-0.8376684
1,25,-4.167992
1,25,-5.493742
1,26,-10.32462
1,26,-10.62449
1,26,-7.638518
1,26,-7.173473
1,26,-14.42636
1,27,-19.49474
1,27,-19.88795
1,28,-8.613456
1,29,-16.55153
1,29,-8.04486
1,30,-24.49785
1,30,-24.85685
1,30,-12.51024
1,10,-41.01543
1,10,-3.902865
1,10,-8.766353
1,10,-6.065047
1,10,-3.724139
1,10,-3.363584
1,10,-3.331187
1,11,-13.98871
1,11,-2.201226
1,11,-3.037988
1,12,-2.623502
1,12,-13.7748
1,12,-7.012846
1,12,-5.0737
1,12,-0.902531
1,12,-6.465525
1,12,-38.08015
1,13,-8.563364
1,13,-10.158
1,13,-3.977021
1,13,-1.681742
1,13,-5.980678
1,14,-22.78609
1,14,-14.01547
1,14,-12.17337
1,14,-5.944248
1,14,-6.533487
1,14,-0.7278174
1,15,-15.75186
1,15,-15.94251
1,15,-2.775305
1,15,-3.319741
1,15,-0.8871503
1,15,-9.602142
1,16,-15.82551
1,16,-28.86571
1,16,-19.54873
1,16,-2.464954
1,16,-10.37838
1,17,-38.46009
1,17,-26.48913
1,17,-2.561742
1,17,-2.996051
1,17,-4.500438
1,18,-16.5661
1,18,-9.265293
1,18,-1.411885
1,18,-1.813794
1,19,-13.58877
1,19,-30.8174
1,19,-1.015513
1,19,-7.607812
1,20,-17.36981
1,20,-17.08794
1,20,-1.248558
1,20,-5.12243
1,20,-15.25377
1,21,-33.82792
1,21,-14.29551
1,21,-4.570796
1,21,-3.769495
1,21,-3.798414
1,21,-8.902804
1,22,-21.86877
1,22,-6.131498
1,22,-9.895288
1,22,-6.559378
1,23,-17.61592
1,23,-3.059781
1,23,-0.7211328
1,23,-16.86715
1,23,-2.000007
1,23,-1.508422
1,23,-1.576465
1,23,-17.66479
1,24,-14.66203
1,24,-5.453545
1,24,-6.358688
1,24,-5.120146
1,24,-4.342859
1,25,-12.01173
1,25,-5.678426
1,25,-0.8376684
1,25,-4.167992
1,25,-5.493742
1,26,-10.32462
1,26,-10.62449
1,26,-7.638518
1,26,-7.173473
1,26,-14.42636
1,27,-19.49474
1,27,-19.88795
1,28,-8.613456
1,29,-16.55153
1,29,-8.04486
1,30,-24.49785
1,30,-24.85685
1,30,-12.51024
10,11,-5.714791
10,11,-4.644702
10,11,-1.498294
10,11,-3.260226
10,12,-3.351461
10,12,-1.962649
10,12,-2.290808
10,12,-0.8428025
10,12,-1.494086
10,13,-3.05949
10,13,-2.1784
10,13,-1.581826
10,13,-0.7745649
10,13,-1.112625
10,14,-4.863046
10,14,-4.769923
10,14,-2.494583
10,14,-0.8059417
10,14,-0.8928711
10,15,-3.863391
10,15,-2.002683
10,15,-2.951544
10,15,-3.565566
10,16,-2.557916
10,16,-4.185883
10,16,-2.091457
10,16,-1.810198
10,16,-0.9363965
10,16,-0.7849617
10,16,-0.8023676
10,16,-2.563056
10,17,-3.961766
10,17,-2.190577
10,17,-2.848057
10,18,-13.66155
10,18,-11.6456
10,18,-2.766054
10,18,-2.736339
10,18,-3.014547
10,18,-3.658825
10,18,-3.051135
10,18,-1.103269
10,19,-6.021986
10,19,-4.681722
10,19,-5.806656
10,19,-5.746459
10,19,-1.022361
10,19,-2.240906
10,19,-3.554286
10,19,-4.208341
10,20,-5.364143
10,20,-4.326352
10,20,-2.378194
10,20,-3.980878
10,20,-2.821853
10,20,-2.867545
10,20,-1.226621
10,20,-0.9087853
10,20,-2.425314
10,21,-13.10318
10,21,-15.0657
10,21,-0.9615034
10,22,-15.00134
10,22,-21.42101
10,22,-14.73803
10,23,-5.886321
10,25,-5.943886
10,26,-7.709552
10,27,-5.417095
10,27,-7.99613
10,27,-5.541391
10,27,-19.72793
10,28,-12.17949
10,29,-5.087257
10,29,-9.610086
10,29,-4.766577
10,29,-16.55132
10,30,-15.13433
10,30,-9.805636
10,31,-9.007618
10,31,-5.274159
10,31,-4.960355
10,31,-3.718531
10,10,-3.939708
10,10,-4.514882
10,10,-3.128611
10,10,-3.005014
10,10,-3.110023
10,10,-2.269455
10,10,-1.044869
10,10,-2.088153
10,11,-5.714791
10,11,-4.644702
10,11,-1.498294
10,11,-3.260226
10,12,-3.351461
10,12,-1.962649
10,12,-2.290808
10,12,-0.8428025
10,12,-1.494086
10,13,-3.05949
10,13,-2.1784
10,13,-1.581826
10,13,-0.7745649
10,13,-1.112625
10,14,-4.863046
10,14,-4.769923
10,14,-2.494583
10,14,-0.8059417
10,14,-0.8928711
10,15,-3.863391
10,15,-2.002683
10,15,-2.951544
10,15,-3.565566
10,16,-2.557916
10,16,-4.185883
10,16,-2.091457
10,16,-1.810198
10,16,-0.9363965
10,16,-0.7849617
10,16,-0.8023676
10,16,-2.563056
10,17,-3.961766
10,17,-2.190577
10,17,-2.848057
10,18,-13.66155
10,18,-11.6456
10,18,-2.766054
10,18,-2.736339
10,18,-3.014547
10,18,-3.658825
10,18,-3.051135
10,18,-1.103269
10,19,-6.021986
10,19,-4.681722
10,19,-5.806656
10,19,-5.746459
10,19,-1.022361
10,19,-2.240906
10,19,-3.554286
10,19,-4.208341
10,20,-5.364143
10,20,-4.326352
10,20,-2.378194
10,20,-3.980878
10,20,-2.821853
10,20,-2.867545
10,20,-1.226621
10,20,-0.9087853
10,20,-2.425314
10,21,-13.10318
10,21,-15.0657
10,21,-0.9615034
10,22,-15.00134
10,22,-21.42101
10,22,-14.73803
10,23,-5.886321
10,25,-5.943886
10,26,-7.709552
10,27,-5.417095
10,27,-7.99613
10,27,-5.541391
10,27,-19.72793
10,28,-12.17949
10,29,-5.087257
10,29,-9.610086
10,29,-4.766577
10,29,-16.55132
10,30,-15.13433
10,30,-9.805636
10,31,-9.007618
10,31,-5.274159
10,31,-4.960355
10,31,-3.718531
2,11,-4.692307
2,11,-3.525046
2,12,-20.32141
2,12,-9.525063
2,13,-4.491657
2,13,-1.570202
2,14,-2.153309
2,14,-2.68026
2,14,-3.060249
2,14,-1.584765
2,15,-11.1796
2,15,-5.413104
2,15,-4.41171
2,15,-1.356466
2,16,-0.6530896
2,16,-3.023801
2,16,-0.604605
2,17,-9.695652
2,18,-4.149186
2,18,-5.851771
2,18,-0.8118365
2,19,-4.995639
2,19,-2.839902
2,19,-3.392851
2,20,-21.60453
2,20,-18.32133
2,20,-13.26453
2,21,-10.17993
2,22,-41.02258
2,22,-62.84535
2,23,-44.20468
2,23,-35.36324
2,24,-20.50092
2,24,-17.98843
2,24,-17.93033
2,25,-25.16668
2,25,-25.2373
2,27,-36.98531
2,28,-21.00792
2,28,-21.23584
2,29,-17.69694
2,30,-18.64459
2,30,-1.303905
2,30,-18.16717
2,10,-12.33854
2,10,-20.03963
2,10,-8.734936
2,10,-0.6936813
2,11,-4.692307
2,11,-3.525046
2,12,-20.32141
2,12,-9.525063
2,13,-4.491657
2,13,-1.570202
2,14,-2.153309
2,14,-2.68026
2,14,-3.060249
2,14,-1.584765
2,15,-11.1796
2,15,-5.413104
2,15,-4.41171
2,15,-1.356466
2,16,-0.6530896
2,16,-3.023801
2,16,-0.604605
2,17,-9.695652
2,18,-4.149186
2,18,-5.851771
2,18,-0.8118365
2,19,-4.995639
2,19,-2.839902
2,19,-3.392851
2,20,-21.60453
2,20,-18.32133
2,20,-13.26453
2,21,-10.17993
2,22,-41.02258
2,22,-62.84535
2,23,-44.20468
2,23,-35.36324
2,24,-20.50092
2,24,-17.98843
2,24,-17.93033
2,25,-25.16668
2,25,-25.2373
2,27,-36.98531
2,28,-21.00792
2,28,-21.23584
2,29,-17.69694
2,30,-18.64459
2,30,-1.303905
2,30,-18.16717
3,11,-19.37792
3,11,-20.53592
3,11,-10.89522
3,11,-6.501621
3,12,-37.17627
3,13,-22.05357
3,14,-24.76317
3,14,-41.17483
3,14,-3.252657
3,15,-35.7849
3,15,-2.202827
3,15,-25.91463
3,16,-50.11342
3,16,-2.717286
3,17,-44.33884
3,17,-70.27037
3,17,-12.5396
3,17,-16.85692
3,18,-18.1447
3,18,-6.875287
3,18,-10.8787
3,19,-20.49189
3,19,-29.73787
3,19,-3.005134
3,20,-27.65509
3,20,-22.26096
3,20,-1.513391
3,21,-36.47118
3,22,-45.26981
3,23,-20.49364
3,23,-44.91154
3,25,-20.14374
3,26,-18.59704
3,26,-26.1242
3,27,-16.51706
3,28,-20.83468
3,29,-18.82836
3,29,-23.05831
3,29,-21.56408
3,30,-8.345161
3,30,-15.70666
3,30,-16.48957
3,10,-8.122447
3,10,-3.18175
3,10,-11.39483
3,10,-6.194354
3,10,-1.557805
3,10,-5.665205
3,10,-9.75417
3,11,-19.37792
3,11,-20.53592
3,11,-10.89522
3,11,-6.501621
3,12,-37.17627
3,13,-22.05357
3,14,-24.76317
3,14,-41.17483
3,14,-3.252657
3,15,-35.7849
3,15,-2.202827
3,15,-25.91463
3,16,-50.11342
3,16,-2.717286
3,17,-44.33884
3,17,-70.27037
3,17,-12.5396
3,17,-16.85692
3,18,-18.1447
3,18,-6.875287
3,18,-10.8787
3,19,-20.49189
3,19,-29.73787
3,19,-3.005134
3,20,-27.65509
3,20,-22.26096
3,20,-1.513391
3,21,-36.47118
3,22,-45.26981
3,23,-20.49364
3,23,-44.91154
3,25,-20.14374
3,26,-18.59704
3,26,-26.1242
3,27,-16.51706
3,28,-20.83468
3,29,-18.82836
3,29,-23.05831
3,29,-21.56408
3,30,-8.345161
3,30,-15.70666
3,30,-16.48957
4,11,-6.045278
4,11,-7.250496
4,11,-5.835075
4,11,-7.442002
4,11,-1.860632
4,11,-6.57485
4,11,-2.760346
4,12,-6.87425
4,12,-11.01093
4,13,-9.103274
4,13,-7.581339
4,13,-10.27884
4,13,-7.947511
4,13,-3.183484
4,14,-10.37803
4,14,-10.15309
4,14,-14.32865
4,15,-13.66
4,15,-17.35094
4,15,-7.350859
4,15,-1.217133
4,16,-22.63511
4,16,-15.9003
4,16,-10.97748
4,16,-0.9395477
4,17,-10.99767
4,17,-26.37537
4,17,-10.60114
4,17,-1.768097
4,18,-29.21176
4,18,-14.76607
4,18,-6.726387
4,19,-24.91722
4,19,-24.70907
4,19,-1.398327
4,19,-5.676186
4,19,-15.97761
4,20,-19.12248
4,20,-1.294848
4,20,-16.09872
4,20,-10.47671
4,20,-7.618283
4,21,-6.788044
4,21,-7.719736
4,21,-4.243723
4,21,-5.036222
4,21,-6.238459
4,21,-4.51524
4,21,-2.690113
4,21,-9.371698
4,21,-13.42464
4,22,-5.63861
4,22,-6.853657
4,22,-17.21671
4,23,-10.71163
4,23,-0.7960737
4,23,-4.960469
4,23,-6.761467
4,23,-5.011598
4,23,-7.048792
4,24,-19.88062
4,24,-16.92095
4,24,-8.595793
4,24,-10.95548
4,24,-9.822956
4,24,-6.883201
4,24,-4.995498
4,24,-0.9168267
4,24,-18.05341
4,25,-11.05054
4,25,-10.96772
4,25,-21.14581
4,26,-3.132214
4,26,-0.6750733
4,27,-8.180812
4,27,-6.089601
4,27,-8.936477
4,28,-35.37511
4,28,-8.817826
4,28,-2.833168
4,28,-5.517582
4,28,-8.90579
4,28,-4.389077
4,29,-13.25781
4,30,-5.724241
4,30,-16.29514
4,10,-12.97113
4,10,-11.42198
4,10,-8.116831
4,10,-8.119156
4,10,-3.319043
4,10,-4.017723
4,10,-1.82269
4,10,-1.777522
4,10,-3.651473
4,10,-2.737009
4,10,-4.692771
4,11,-6.045278
4,11,-7.250496
4,11,-5.835075
4,11,-7.442002
