Number,Case,Min,Mean,Max
1,10,0.01446889,0.06386988789473684,0.1810936
1,11,0.1261909,0.20159258571428568,0.3154063
1,12,0.03028895,0.2376206681818182,0.4882779
1,13,0.04638279,0.15002139000000003,0.3875648
1,14,0.1066441,0.29406460909090903,0.5419701
1,15,0.06876986,0.19484386600000003,0.3861177
1,16,0.06309332,0.404378341,1.080681
1,17,0.03469259,0.21319416800000002,0.5644751
1,18,0.05347495,0.19890447555555554,0.5160157
1,19,0.137912,0.3835915777777778,0.7542599
1,20,0.05141035,0.30868163750000005,0.7060602
1,21,0.03385485,0.19899560500000002,0.4259426
1,22,0.1710957,0.26030905555555556,0.3847071
1,23,0.09454758,0.26330447333333334,0.5180498
1,24,0.1032299,0.19767935,0.3542711
1,25,0.09912784,0.23627115400000004,0.4696844
1,26,0.1443294,0.2516746444444445,0.4253697
1,27,0.3783248,0.5593262200000001,0.8073109
1,28,0.5811033,0.7943362333333334,1.048533
1,29,0.3722177,0.57430974,0.8096701
1,30,0.218583,0.5225424428571428,0.9320065
10,10,0.04367783,0.09198821166666667,0.1964753
10,11,0.06615689,0.1773775575,0.3403631
10,12,0.03028416,0.07911817999999998,0.1369804
10,13,0.01122819,0.05650792769230768,0.1348885
10,14,0.01061815,0.049885018125,0.196871
10,15,0.01944,0.06177537615384616,0.1251651
10,16,0.01546851,0.04353874125,0.1163059
10,17,0.03966381,0.09124462222222224,0.1671425
10,18,0.03519871,0.08489657764705882,0.1437527
10,19,0.02470809,0.106684318125,0.2119866
10,20,0.0178697,0.08802849357142857,0.2122117
10,21,0.4949098,0.5361418333333333,0.5993759
10,22,0.2022725,0.4472769285714286,0.7388266
10,23,0.1135327,0.41013649999999996,0.8007054
10,24,0.1027007,0.10464096666666667,0.105973
10,25,0.2371673,0.372798175,0.6455903
10,26,0.1476451,0.1476451,0.1476451
10,27,0.1036782,0.19410642857142854,0.3266319
10,28,0.2295006,0.4856136,1.004531
10,29,0.1003176,0.20522639999999998,0.3211
10,30,0.1971975,0.34930645,0.5989398
