Number,Case,Velocity
1,11,0.2336207
1,11,0.2329942
1,11,0.1889697
1,11,0.1869506
1,11,0.1261909
1,11,0.1270157
1,11,0.3154063
1,12,0.2801639
1,12,0.4882779
1,12,0.2127818
1,12,0.3523712
1,12,0.3733515
1,12,0.2330946
1,12,0.1316206
1,12,0.11357
1,12,0.2638087
1,12,0.1344982
1,12,0.03028895
1,13,0.3875648
1,13,0.2162976
1,13,0.2495429
1,13,0.04638279
1,13,0.08085577
1,13,0.1382715
1,13,0.05873104
1,13,0.08924332
1,13,0.05560847
1,13,0.2236753
1,13,0.1040618
1,14,0.2728473
1,14,0.2818009
1,14,0.5419701
1,14,0.2616606
1,14,0.3844862
1,14,0.1410189
1,14,0.2255291
1,14,0.1066441
1,14,0.4315498
1,14,0.30088
1,14,0.2863237
1,15,0.3034242
1,15,0.1917999
1,15,0.1906708
1,15,0.1351647
1,15,0.06876986
1,15,0.1518393
1,15,0.1340963
1,15,0.3861177
1,15,0.1940748
1,15,0.1924811
1,16,0.5118419
1,16,1.080681
1,16,0.503367
1,16,0.1123924
1,16,0.06309332
1,16,0.09045939
1,16,0.3671589
1,16,0.1595914
1,16,0.5130807
1,16,0.6421174
1,17,0.3317734
1,17,0.5644751
1,17,0.03469259
1,17,0.109771
1,17,0.05853616
1,17,0.07594363
1,17,0.1891145
1,17,0.1291934
1,17,0.3642253
1,17,0.2742166
1,18,0.5160157
1,18,0.1846937
1,18,0.1877505
1,18,0.3032944
1,18,0.1179885
1,18,0.08975083
1,18,0.05347495
1,18,0.1232814
1,18,0.2138903
1,19,0.6289701
1,19,0.3571948
1,19,0.7542599
1,19,0.137912
1,19,0.1390839
1,19,0.1717282
1,19,0.1514179
1,19,0.6319568
1,19,0.4798006
1,20,0.7060602
1,20,0.358664
1,20,0.3529673
1,20,0.5205888
1,20,0.1788301
1,20,0.1538589
1,20,0.05141035
1,20,0.07986997
1,20,0.08705553
1,20,0.5033675
1,20,0.1982921
1,20,0.5132149
1,21,0.2921661
1,21,0.4259426
1,21,0.1400324
1,21,0.2006607
1,21,0.1092448
1,21,0.03385485
1,21,0.1723722
1,21,0.0964039
1,21,0.3486673
1,21,0.1706112
1,22,0.1933587
1,22,0.1968729
1,22,0.3090733
1,22,0.1864433
1,22,0.3690015
1,22,0.1710957
1,22,0.3847071
1,22,0.2535196
1,22,0.2787094
1,23,0.3293889
1,23,0.2681933
1,23,0.5180498
1,23,0.5036271
1,23,0.1662841
1,23,0.1647162
1,23,0.124716
1,23,0.09454758
1,23,0.1846238
1,23,0.1530945
1,23,0.331514
1,23,0.3208984
1,24,0.2217985
1,24,0.2197109
1,24,0.11064
1,24,0.1275578
1,24,0.2468561
1,24,0.1196824
1,24,0.2056328
1,24,0.1032299
1,24,0.3542711
1,24,0.267414
1,25,0.4696844
1,25,0.2294497
1,25,0.1158812
1,25,0.09912784
1,25,0.2024831
1,25,0.1191232
1,25,0.3096422
1,25,0.1997673
1,25,0.209575
1,25,0.4079776
1,26,0.2130814
1,26,0.4253697
1,26,0.21288
1,26,0.3080769
1,26,0.1553066
1,26,0.1443294
1,26,0.3391064
1,26,0.1956369
1,26,0.2712845
1,27,0.8073109
1,27,0.4174162
1,27,0.4174954
1,27,0.7760838
1,27,0.3783248
1,28,0.7533724
1,28,0.5811033
1,28,1.048533
1,29,0.7032483
1,29,0.3722177
1,29,0.5736549
1,29,0.4127577
1,29,0.8096701
1,30,0.9320065
1,30,0.4420496
1,30,0.5197906
1,30,0.7868583
1,30,0.2897213
1,30,0.4687878
1,30,0.218583
1,10,0.07444013
1,10,0.0765792
1,10,0.1469601
1,10,0.02565919
1,10,0.09420091
1,10,0.01971813
1,10,0.01991861
1,10,0.02357789
1,10,0.02799986
1,10,0.01655222
1,10,0.01446889
1,10,0.05668249
1,10,0.04512335
1,10,0.1035663
1,10,0.03629462
1,10,0.06744167
1,10,0.09408003
1,10,0.08917068
1,10,0.1810936
1,11,0.2336207
1,11,0.2329942
1,11,0.1889697
1,11,0.1869506
1,11,0.1261909
1,11,0.1270157
1,11,0.3154063
1,12,0.2801639
1,12,0.4882779
1,12,0.2127818
1,12,0.3523712
1,12,0.3733515
1,12,0.2330946
1,12,0.1316206
1,12,0.11357
1,12,0.2638087
1,12,0.1344982
1,12,0.03028895
1,13,0.3875648
1,13,0.2162976
1,13,0.2495429
1,13,0.04638279
1,13,0.08085577
1,13,0.1382715
1,13,0.05873104
1,13,0.08924332
1,13,0.05560847
1,13,0.2236753
1,13,0.1040618
1,14,0.2728473
1,14,0.2818009
1,14,0.5419701
1,14,0.2616606
1,14,0.3844862
1,14,0.1410189
1,14,0.2255291
1,14,0.1066441
1,14,0.4315498
1,14,0.30088
1,14,0.2863237
1,15,0.3034242
1,15,0.1917999
1,15,0.1906708
1,15,0.1351647
1,15,0.06876986
1,15,0.1518393
1,15,0.1340963
1,15,0.3861177
1,15,0.1940748
1,15,0.1924811
1,16,0.5118419
