Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
11,21.5,FastTapIn,0.0,0.07653527,-4.692307, ,0
11,21.52,FastTapIn,0.02,0.1133657,1.84152, ,0
11,21.54,FastTapIn,0.04,0.04286475,-3.525046, ,0
11,21.56,FastTapIn,0.06,0.1223329,3.973409, ,0
12,23.96,FastTapIn,0.0,0.2603745,-20.32141, ,0
12,23.98,FastTapIn,0.02,0.2530051,-0.3684714, ,0
12,24.0,FastTapIn,0.04,0.3776718,6.233336, ,0
12,24.02,FastTapIn,0.06,0.1871705,-9.525063, ,0
12,24.04,FastTapIn,0.08,0.2725196,4.267456, ,0
12,24.06,FastTapIn,0.09999999,0.3486901,3.808524, ,0
13,25.78,FastTapIn,0.0,0.1418124,2.350616, ,0
13,25.8,FastTapIn,0.02,0.05197923,-4.491657, ,0
13,25.82,FastTapIn,0.04,0.05676621,0.2393494, ,0
13,25.84,FastTapIn,0.06,0.02536217,-1.570202, ,0
14,27.62,FastTapIn,0.0,0.1011299,2.943406, ,0
14,27.64,FastTapIn,0.02,0.05806376,-2.153309, ,0
14,27.66,FastTapIn,0.04,0.1059662,2.39512, ,0
14,27.68,FastTapIn,0.06,0.05236095,-2.68026, ,0
14,27.7,FastTapIn,0.08,0.1195538,3.359644, ,0
14,27.72,FastTapIn,0.09999999,0.05834886,-3.060249, ,0
14,27.74,FastTapIn,0.12,0.05846144,0.005628914, ,0
14,27.76,FastTapIn,0.14,0.06451748,0.3028024, ,0
14,27.78,FastTapIn,0.16,0.03282219,-1.584765, ,0
14,27.8,FastTapIn,0.18,0.06276456,1.497119, ,0
14,27.82,FastTapIn,0.2,0.1284157,3.282558, ,0
15,29.44,FastTapIn,0.0,0.3753189,10.82277, ,0
15,29.46,FastTapIn,0.02,0.1517269,-11.1796, ,0
15,29.48,FastTapIn,0.04,0.1502043,-0.07613152, ,0
15,29.5,FastTapIn,0.06,0.2159069,3.285133, ,0
15,29.52,FastTapIn,0.08,0.1076448,-5.413104, ,0
15,29.54,FastTapIn,0.09999999,0.01941064,-4.41171, ,0
15,29.56,FastTapIn,0.12,0.03118083,0.5885092, ,0
15,29.58,FastTapIn,0.14,0.08435592,2.658755, ,0
15,29.6,FastTapIn,0.16,0.05722661,-1.356466, ,0
15,29.62,FastTapIn,0.18,0.0541748,-0.1525905, ,0
15,29.64,FastTapIn,0.2,0.3481957,14.70105, ,0
16,31.1,FastTapIn,0.0,0.09718727,2.097506, ,0
16,31.12,FastTapIn,0.02,0.08412547,-0.6530896, ,0
16,31.14,FastTapIn,0.04,0.02364945,-3.023801, ,0
16,31.16,FastTapIn,0.06,0.01268404,-0.5482707, ,0
16,31.18,FastTapIn,0.08,0.02099909,0.4157524, ,0
16,31.2,FastTapIn,0.09999999,0.008906988,-0.604605, ,0
16,31.22,FastTapIn,0.12,0.02195476,0.6523887, ,0
17,32.74,FastTapIn,0.0,0.2536755,6.185662, ,0
17,32.76,FastTapIn,0.02,0.05976246,-9.695652, ,0
17,32.78,FastTapIn,0.04,0.06239719,0.1317367, ,0
17,32.8,FastTapIn,0.06,0.07399084,0.5796822, ,0
17,32.82,FastTapIn,0.08,0.1452543,3.563172, ,0
18,34.62,FastTapIn,0.0,0.1693685,4.297371, ,0
18,34.64,FastTapIn,0.02,0.0863848,-4.149186, ,0
18,34.66,FastTapIn,0.04,0.1101887,1.190197, ,0
18,34.68,FastTapIn,0.06,0.2150074,5.240932, ,0
18,34.7,FastTapIn,0.08,0.09797194,-5.851771, ,0
18,34.72,FastTapIn,0.09999999,0.08173521,-0.8118365, ,0
18,34.74,FastTapIn,0.12,0.1145257,1.639525, ,0
19,37.92,FastTapIn,0.0,0.1749969,3.590785, ,0
19,37.94,FastTapIn,0.02,0.07508417,-4.995639, ,0
19,37.96,FastTapIn,0.04,0.01828613,-2.839902, ,0
19,37.98,FastTapIn,0.06,0.04838528,1.504957, ,0
19,38.0,FastTapIn,0.08,0.06932629,1.047051, ,0
19,38.02,FastTapIn,0.09999999,0.1815866,5.613016, ,0
19,38.04,FastTapIn,0.12,0.1137296,-3.392851, ,0
20,40.28,FastTapIn,0.0,0.2716493,-21.60453, ,0
20,40.3,FastTapIn,0.02,0.5348783,13.16145, ,0
20,40.32,FastTapIn,0.04,0.1684516,-18.32133, ,0
20,40.34,FastTapIn,0.06,0.1716763,0.1612373, ,0
20,40.36,FastTapIn,0.08,0.4935028,16.09132, ,0
20,40.38,FastTapIn,0.09999999,0.2282122,-13.26453, ,0
21,44.98,FastTapIn,0.0,0.4743694,13.21436, ,0
21,45.0,FastTapIn,0.02,0.2707708,-10.17993, ,0
21,45.02,FastTapIn,0.04,0.6195885,17.44089, ,0
22,47.54,FastTapIn,0.0,1.567262,39.63283, ,0
22,47.56,FastTapIn,0.02,0.7468104,-41.02258, ,0
22,47.58,FastTapIn,0.04,0.7384679,-0.4171222, ,0
22,47.6,FastTapIn,0.06,1.302396,28.19642, ,0
22,47.62,FastTapIn,0.08,0.0454893,-62.84535, ,0
23,51.52,FastTapIn,0.0,0.6946626,-44.20468, ,0
23,51.54,FastTapIn,0.02,1.224722,26.50295, ,0
23,51.56,FastTapIn,0.04,0.5174568,-35.36324, ,0
23,51.58,FastTapIn,0.06,1.030792,25.66676, ,0
24,53.26,FastTapIn,0.0,0.3622673,-20.50092, ,0
24,53.28,FastTapIn,0.02,0.7210974,17.94151, ,0
24,53.3,FastTapIn,0.04,0.3613289,-17.98843, ,0
24,53.32,FastTapIn,0.06,0.7290782,18.38747, ,0
24,53.34,FastTapIn,0.08,0.3704716,-17.93033, ,0
25,55.1,FastTapIn,0.0,1.046232,27.20897, ,0
25,55.12,FastTapIn,0.02,0.5428982,-25.16668, ,0
25,55.14,FastTapIn,0.04,0.5382414,-0.2328426, ,0
25,55.16,FastTapIn,0.06,0.9785222,22.01404, ,0
25,55.18,FastTapIn,0.08,0.4737763,-25.2373, ,0
26,57.48,FastTapIn,0.0,0.4695338,-0.001113117, ,0
27,59.48,FastTapIn,0.0,0.7342575,-36.98531, ,0
27,59.5,FastTapIn,0.02,0.846258,5.600027, ,0
