Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
11,26.2,FastTapIn,0.0,0.4156024,-19.37792, ,0
11,26.22,FastTapIn,0.02,0.7439862,16.41919, ,0
11,26.24,FastTapIn,0.04,0.3332677,-20.53592, ,0
11,26.26,FastTapIn,0.06,0.1153632,-10.89522, ,0
11,26.28,FastTapIn,0.08,0.6462004,26.54186, ,0
11,26.3,FastTapIn,0.09999999,0.516168,-6.501621, ,0
12,27.62,FastTapIn,0.0,0.1453817,-37.17627, ,0
12,27.64,FastTapIn,0.02,0.2896636,7.214093, ,0
13,29.5,FastTapIn,0.0,0.478011,10.09702, ,0
13,29.52,FastTapIn,0.02,0.6481534,8.507119, ,0
13,29.54,FastTapIn,0.04,0.2070821,-22.05357, ,0
13,29.56,FastTapIn,0.06,0.5548705,17.38942, ,0
13,29.58,FastTapIn,0.08,1.020125,23.26274, ,0
14,31.32,FastTapIn,0.0,0.9756023,25.9253, ,0
14,31.34,FastTapIn,0.02,0.4803389,-24.76317, ,0
14,31.36,FastTapIn,0.04,0.8656255,19.26433, ,0
14,31.38,FastTapIn,0.06,0.04212898,-41.17483, ,0
14,31.4,FastTapIn,0.08,0.1602765,5.907378, ,0
14,31.42,FastTapIn,0.09999999,0.09522339,-3.252657, ,0
14,31.44,FastTapIn,0.12,0.3926847,14.87307, ,0
14,31.46,FastTapIn,0.14,0.9500599,27.86876, ,0
15,33.12,FastTapIn,0.0,0.591506,-35.7849, ,0
15,33.14,FastTapIn,0.02,0.5474495,-2.202827, ,0
15,33.16,FastTapIn,0.04,0.02915686,-25.91463, ,0
15,33.18,FastTapIn,0.06,0.02494403,-0.2106415, ,0
15,33.2,FastTapIn,0.08,0.8838191,42.94376, ,0
16,34.7,FastTapIn,0.0,1.201179,30.07889, ,0
16,34.72,FastTapIn,0.02,0.1989108,-50.11342, ,0
16,34.74,FastTapIn,0.04,0.2005246,0.08069128, ,0
16,34.76,FastTapIn,0.06,0.1461789,-2.717286, ,0
16,34.78,FastTapIn,0.08,0.3128662,8.334364, ,0
17,36.5,FastTapIn,0.0,0.8984082,16.13621, ,0
17,36.52,FastTapIn,0.02,0.01163129,-44.33884, ,0
17,36.54,FastTapIn,0.04,1.459775,72.40721, ,0
17,36.56,FastTapIn,0.06,0.05436813,-70.27037, ,0
17,36.58,FastTapIn,0.08,0.5921819,26.89069, ,0
17,36.6,FastTapIn,0.09999999,0.34139,-12.5396, ,0
17,36.62,FastTapIn,0.12,0.9312879,29.4949, ,0
17,36.64,FastTapIn,0.14,0.5941496,-16.85692, ,0
18,38.3,FastTapIn,0.0,0.5630801,-18.1447, ,0
18,38.32,FastTapIn,0.02,0.4255743,-6.875287, ,0
18,38.34,FastTapIn,0.04,0.2080003,-10.8787, ,0
18,38.36,FastTapIn,0.06,0.5840609,18.80303, ,0
19,40.02,FastTapIn,0.0,0.9348148,26.51758, ,0
19,40.04,FastTapIn,0.02,0.524977,-20.49189, ,0
19,40.06,FastTapIn,0.04,0.6635104,6.926668, ,0
19,40.08,FastTapIn,0.06,0.06875302,-29.73787, ,0
19,40.1,FastTapIn,0.08,0.05932509,-0.4713964, ,0
19,40.12,FastTapIn,0.09999999,0.466438,20.35565, ,0
19,40.14,FastTapIn,0.12,0.4063354,-3.005134, ,0
20,41.7,FastTapIn,0.0,0.5640341,5.784813, ,0
20,41.72,FastTapIn,0.02,1.054553,24.52596, ,0
20,41.74,FastTapIn,0.04,0.5014517,-27.65509, ,0
20,41.76,FastTapIn,0.06,0.0562324,-22.26096, ,0
20,41.78,FastTapIn,0.08,0.02596459,-1.513391, ,0
20,41.8,FastTapIn,0.09999999,0.7343047,35.41701, ,0
21,45.16,FastTapIn,0.0,1.493013,37.90386, ,0
21,45.18,FastTapIn,0.02,0.7635896,-36.47118, ,0
22,46.9,FastTapIn,0.0,1.754223,54.43909, ,0
22,46.92,FastTapIn,0.02,0.8488263,-45.26981, ,0
22,46.94,FastTapIn,0.04,1.398535,27.48542, ,0
23,49.64,FastTapIn,0.0,0.7935606,21.68402, ,0
23,49.66,FastTapIn,0.02,0.3836878,-20.49364, ,0
23,49.68,FastTapIn,0.04,0.3769437,-0.3372043, ,0
23,49.7,FastTapIn,0.06,0.9245222,27.37892, ,0
23,49.72,FastTapIn,0.08,0.02629135,-44.91154, ,0
23,49.74,FastTapIn,0.09999999,1.05268,51.31945, ,0
24,51.38,FastTapIn,0.0,1.392615,36.65757, ,0
25,53.3,FastTapIn,0.0,0.9022423,22.02391, ,0
25,53.32,FastTapIn,0.02,0.4993674,-20.14374, ,0
25,53.34,FastTapIn,0.04,0.4930271,-0.3170177, ,0
25,53.36,FastTapIn,0.06,1.156275,33.16238, ,0
26,55.24,FastTapIn,0.0,0.8988734,21.9019, ,0
26,55.26,FastTapIn,0.02,0.5269326,-18.59704, ,0
26,55.28,FastTapIn,0.04,1.011871,24.24691, ,0
26,55.3,FastTapIn,0.06,0.489387,-26.1242, ,0
27,57.44,FastTapIn,0.0,0.8667808,21.09135, ,0
27,57.46,FastTapIn,0.02,0.5364397,-16.51706, ,0
28,59.54,FastTapIn,0.0,0.8899571,23.51639, ,0
28,59.56,FastTapIn,0.02,0.4732634,-20.83468, ,0
28,59.58,FastTapIn,0.04,0.9824585,25.45975, ,0
29,61.94,FastTapIn,0.0,0.5338075,-18.82836, ,0
29,61.96,FastTapIn,0.02,0.9037079,18.49502, ,0
29,61.98,FastTapIn,0.04,0.4425417,-23.05831, ,0
29,62.0,FastTapIn,0.06,0.7830968,17.02776, ,0
29,62.02,FastTapIn,0.08,0.3518152,-21.56408, ,0
30,64.08,FastTapIn,0.0,0.4912963,11.88478, ,0
30,64.1,FastTapIn,0.02,0.3243931,-8.345161, ,0
30,64.12,FastTapIn,0.04,0.6113293,14.34681, ,0
30,64.14,FastTapIn,0.06,0.2971961,-15.70666, ,0
30,64.16,FastTapIn,0.08,0.644122,17.3463, ,0
30,64.18,FastTapIn,0.09999999,0.3143307,-16.48957, ,0
30,64.2,FastTapIn,0.12,0.3538573,1.976334, ,0
