,Case
11,8
12,12
13,12
14,12
15,11
16,10
17,11
18,10
19,9
20,12
21,11
22,10
23,13
24,11
25,10
26,10
27,5
28,3
29,5
30,7
11,8
12,10
13,13
14,18
15,14
16,19
17,9
18,19
19,18
20,16
21,5
22,7
23,6
24,3
25,4
26,1
27,8
28,4
29,9
30,4
31,10
11,4
12,6
13,4
14,11
15,11
16,7
17,5
18,7
19,7
20,6
21,3
22,5
23,4
24,5
25,5
26,1
27,3
28,4
29,1
30,5
11,6
12,2
13,5
14,8
15,5
16,5
17,8
18,4
19,7
20,6
21,2
22,3
23,6
24,1
25,4
26,4
27,2
28,3
29,5
30,7
11,16
12,7
13,11
14,9
15,10
16,10
17,9
18,9
19,7
20,11
21,19
22,7
23,12
24,17
25,6
26,4
27,7
28,11
29,3
30,5
11,21
12,24
13,20
14,27
15,25
16,27
17,19
18,28
19,19
20,17
21,20
22,17
23,16
24,25
25,23
26,18
27,17
28,24
29,22
30,21
11,13
12,11
13,12
14,14
15,15
16,12
17,13
18,11
19,10
20,15
21,4
22,6
23,6
24,4
25,4
26,4
27,4
28,2
29,4
30,9
31,10
32,9
33,11
34,11
35,12
36,10
37,13
38,12
39,18
40,14
11,7
12,4
13,2
14,6
15,5
16,6
17,5
18,3
19,4
20,3
21,1
22,4
23,3
24,5
25,4
26,1
27,2
28,2
29,1
30,2
11,9
12,9
13,9
14,16
15,7
16,9
17,11
18,10
19,9
20,10
21,2
22,2
23,2
24,2
25,5
26,4
27,2
28,3
29,4
30,11
11,13
12,12
13,11
14,13
15,11
16,13
17,14
18,13
19,11
20,13
21,4
22,5
23,3
24,4
25,6
26,3
27,2
28,4
29,4
30,4
