Number,Case,Min,Mean,Max
1,1,-3.664041,-2.1237432333333337,-0.9016954
1,2,-10.65499,-4.81020351111111,-0.9817226
1,3,-17.04335,-5.61240323,-0.7988913
1,4,-12.48272,-4.340253259999999,-0.9114566
1,5,-19.76048,-5.407506127272727,-0.6009534
1,6,-12.34899,-3.6375281999999998,-0.7946789
1,7,-12.93985,-4.14371523,-0.8729593
1,8,-17.2194,-4.941471818181818,-1.038713
1,9,-28.76298,-7.658766999999997,-1.706429
1,10,-41.01543,-10.024086428571428,-3.331187
10,1,-11.25666,-6.1755066,-0.9126894
10,2,-10.0833,-3.4619923999999997,-0.8290542
10,3,-8.066351,-3.819706825,-0.8432403
10,4,-4.338618,-3.0930822250000003,-0.9775249
10,5,-10.20683,-4.503203000000001,-1.3485
10,6,-6.156843,-4.4141882500000005,-2.033806
10,7,-19.19397,-14.441132,-10.01954
10,8,-6.812821,-2.901501046666667,-0.7056572
10,9,-6.732919,-3.2061562272727273,-0.7959735
10,10,-4.514882,-2.887589375,-1.044869
2,1,-7.590741,-3.6158028833333336,-0.5852633
2,2,-21.79634,-8.090763714285714,-1.421088
2,3,-4.708502,-3.38892825,-1.800694
2,4,-18.74706,-9.344706,-4.597859
2,5,-3.293724,-2.7641750000000003,-2.368106
2,6,-15.68282,-9.9558485,-2.074148
2,7,-6.068212,-3.605649833333333,-1.430216
2,8,-12.32471,-7.5274636,-3.020431
2,9,-8.907619,-7.1158745,-5.32413
2,10,-20.03963,-10.451696824999999,-0.6936813
3,1,-13.01059,-3.4714512222222225,-1.170274
3,2,-8.205591,-3.451950122222222,-0.6747867
3,3,-14.88815,-3.896221890909091,-0.6478376
3,4,-8.518216,-4.3171655,-1.688252
3,5,-8.034155,-5.302343485714286,-0.6546214
3,6,-13.39049,-6.088717766666666,-0.7801121
3,7,-20.73593,-6.4254057875,-0.9561013
3,8,-9.503693,-5.795049666666666,-1.592389
3,9,-17.85659,-7.867243499999998,-2.372195
3,10,-11.39483,-6.552937285714286,-1.557805
4,1,-9.398838,-5.816781099999999,-1.544398
4,2,-13.18218,-5.014082910000001,-0.6509531
4,3,-11.73705,-3.6098711199999998,-0.5903497
4,4,-22.67264,-5.512156666666667,-0.6269419
4,5,-17.92321,-6.5908244300000005,-0.6442704
4,6,-36.19431,-8.722832583333334,-1.323248
4,7,-17.65833,-5.4301185,-0.8103455
4,8,-3.379026,-2.111582909090909,-1.227941
4,9,-9.754363,-3.3220577153846156,-0.6873912
4,10,-12.97113,-5.695211636363637,-1.777522
5,1,-17.87975,-3.965800814285715,-0.5979783
5,2,-10.97123,-3.069758011538461,-0.5902073
5,3,-16.83425,-3.614194475,-0.5931875
5,4,-18.30076,-3.927047204,-0.6045765
5,5,-17.68044,-3.9827574521739133,-0.6177254
5,6,-23.87389,-6.011801595238095,-0.6094894
5,7,-15.64406,-4.580501300000001,-0.6214968
5,8,-42.58562,-5.885980631818182,-0.6573402
5,9,-23.98437,-4.525044677272727,-0.6199946
5,10,-24.04338,-6.056878095454545,-0.6076987
6,1,-32.6985,-8.674493540000002,-0.6304181
6,2,-32.3669,-7.5887169000000005,-0.6381565
6,3,-20.66742,-5.935882683333333,-0.6653117
6,4,-25.18639,-5.8295594714285714,-0.743311
6,5,-14.19553,-4.167330706666667,-0.6364226
6,6,-24.54431,-6.537498890909092,-0.7427968
6,7,-34.50773,-6.016781793333334,-0.679229
6,8,-32.10889,-7.048604452941176,-0.6823104
6,9,-19.78633,-4.623379315384614,-0.8320744
6,10,-27.47185,-5.804030783333332,-0.6437646
7,1,-7.681146,-2.129107388,-0.7079765
7,2,-27.05914,-7.442703421428571,-0.607826
7,3,-13.33483,-4.7706730083333335,-0.7028084
7,4,-13.3292,-7.8502055,-3.22388
7,5,-18.45453,-5.902050069230769,-0.6087989
7,6,-21.32207,-9.276710766666666,-0.6442024
7,7,-29.9842,-11.495253033333334,-0.6600052
7,8,-16.81956,-6.8955733375,-0.8585647
7,9,-17.8942,-8.657980777777777,-1.698112
7,10,-55.44963,-19.692219883333333,-0.7989213
8,1,-55.26377,-8.8446387,-0.7288139
8,2,-59.8631,-12.841602355555558,-0.7711012
8,3,-60.73265,-9.6340712,-0.8840533
8,4,-43.74566,-7.598997852941176,-0.5859136
8,5,-41.26519,-9.600225233333331,-0.8304991
8,6,-58.17603,-6.897616393750001,-0.5842348
8,7,-42.29776,-7.402776205555556,-0.8200382
8,8,-35.16735,-6.932103046666667,-0.9301655
8,9,-28.16639,-6.1550176,-1.367613
8,10,-32.49551,-5.933625081250001,-0.6269835
9,1,-32.34729,-5.131840292307692,-0.6735852
9,2,-24.71169,-5.2264044357142865,-0.8080007
9,3,-26.09189,-4.564214495238095,-0.6653827
9,4,-31.6285,-5.774732468421053,-0.9711869
9,5,-22.24835,-4.517906373333333,-0.698486
9,6,-35.28473,-6.6559881,-0.6083372
9,7,-15.89736,-4.28240605,-0.6642548
9,8,-15.87108,-3.8008147315789476,-0.6000282
9,9,-23.91411,-7.929008566666666,-0.8571492
9,10,-18.67455,-5.940382893333334,-0.7712284
