Number,Case,Velocity
1,1,0.1482541
1,1,0.07497333
1,1,0.08456187
1,1,0.0298718
1,1,0.05927341
1,1,0.04123951
1,1,0.0858459
1,1,0.04511385
1,1,0.03638076
1,1,0.07254691
1,1,0.04144264
1,1,0.05947877
1,1,0.02247074
1,1,0.02552153
1,1,0.0474781
1,1,0.136794
1,2,0.1545944
1,2,0.1853161
1,2,0.0489104
1,2,0.05316392
1,2,0.1317168
1,2,0.0770904
1,2,0.10142
1,2,0.05279957
1,2,0.1110314
1,2,0.01526252
1,2,0.01538634
1,2,0.004876362
1,2,0.005334652
1,2,0.07664432
1,2,0.01443755
1,2,0.01837752
1,2,0.01369753
1,2,0.05360238
1,2,0.03396792
1,2,0.08937402
1,2,0.2526382
1,2,0.1683071
1,2,0.2683223
1,3,0.2468782
1,3,0.3730634
1,3,0.4319794
1,3,0.09111247
1,3,0.2548838
1,3,0.05515983
1,3,0.1075039
1,3,0.08231164
1,3,0.1848283
1,3,0.08010646
1,3,0.06101628
1,3,0.08323139
1,3,0.03438624
1,3,0.0721819
1,3,0.03405157
1,3,0.06234865
1,3,0.04637083
1,3,0.0443773
1,3,0.1469151
1,3,0.1101583
1,4,0.2309192
1,4,0.2724123
1,4,0.04406702
1,4,0.08836024
1,4,0.03493381
1,4,0.0297822
1,4,0.07699583
1,4,0.007854479
1,4,0.1287661
1,4,0.04646816
1,4,0.08947003
1,4,0.02120448
1,4,0.02251275
1,4,0.004283613
1,4,0.004067908
1,4,0.05313518
1,4,0.02429719
1,4,0.07259476
1,4,0.04927023
1,4,0.1253377
1,4,0.0788096
1,4,0.1695221
1,5,0.150452
1,5,0.1384329
1,5,0.07284422
1,5,0.1931851
1,5,0.06022074
1,5,0.05932669
1,5,0.1154641
1,5,0.05253863
1,5,0.05484103
1,5,0.005900613
1,5,0.08797655
1,5,0.0006664452
1,5,0.02690757
1,5,0.06444523
1,5,0.03886569
1,5,0.05193477
1,5,0.02474462
1,5,0.01851522
1,5,0.03887379
1,5,0.1140112
1,5,0.07424804
1,5,0.07196507
1,5,0.04510506
1,6,0.2222346
1,6,0.206341
1,6,0.2075216
1,6,0.04227775
1,6,0.04210614
1,6,0.06677795
1,6,0.0264361
1,6,0.05347624
1,6,0.02790233
1,6,0.05390029
1,6,0.03035135
1,6,0.02930224
1,6,0.1272433
1,6,0.04897323
1,6,0.06009772
1,6,0.01688209
1,6,0.06113327
1,6,0.04318384
1,6,0.07777299
1,6,0.0309403
1,6,0.02523013
1,6,0.05708208
1,6,0.008054322
1,6,0.02304179
1,6,0.02044673
1,6,0.07041124
1,6,0.05066237
1,6,0.1573874
1,6,0.2681771
1,7,0.1909685
1,7,0.1095845
1,7,0.1621693
1,7,0.05400155
1,7,0.02385296
1,7,0.006393775
1,7,0.02766967
1,7,0.07227869
1,7,0.04268885
1,7,0.06499542
1,7,0.03093394
1,7,0.04123703
1,7,0.01372823
1,7,0.02822331
1,7,0.03798903
1,7,0.03669372
1,7,0.1572763
1,7,0.113487
1,7,0.1479422
1,8,0.3250151
1,8,0.1754026
1,8,0.2071927
1,8,0.06600787
1,8,0.09661423
1,8,0.05447735
1,8,0.1583501
1,8,0.03069692
1,8,0.04869043
1,8,0.02304418
1,8,0.02413821
1,8,0.04083366
1,8,0.03493749
1,8,0.07252524
1,8,0.0223118
1,8,0.0219771
1,8,0.03250051
1,8,0.01172625
1,8,0.01931172
1,8,0.05511772
1,8,0.1114299
1,8,0.06101077
1,8,0.2033307
