Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,2.98,FastTapIn,0.0,0.03478688,0.7323445, ,0
1,3.0,FastTapIn,0.02,0.03472468,-0.003109686, ,0
1,3.02,FastTapIn,0.04,0.08424426,2.475979, ,0
1,3.04,FastTapIn,0.06,0.04185742,-2.119342, ,0
1,3.06,FastTapIn,0.08,0.1166742,3.740838, ,0
1,3.08,FastTapIn,0.09999999,0.06137517,-2.764951, ,0
1,3.1,FastTapIn,0.12,0.11331,2.596741, ,0
1,3.12,FastTapIn,0.14,0.05344362,-2.993318, ,0
1,3.14,FastTapIn,0.16,0.05205338,-0.06951187, ,0
1,3.16,FastTapIn,0.18,0.1394773,4.371193, ,0
1,3.18,FastTapIn,0.2,0.06613578,-3.667074, ,0
1,3.2,FastTapIn,0.22,0.1301264,3.199532, ,0
1,3.22,FastTapIn,0.24,0.07592648,-2.709997, ,0
1,3.24,FastTapIn,0.26,0.1370234,3.054844, ,0
1,3.26,FastTapIn,0.28,0.06210355,-3.74599, ,0
1,3.28,FastTapIn,0.3,0.03711644,-1.249356, ,0
1,3.3,FastTapIn,0.32,0.07692233,1.990294, ,0
1,3.32,FastTapIn,0.34,0.09342866,0.8253165, ,0
1,3.34,FastTapIn,0.36,0.05929954,-1.706456, ,0
1,3.36,FastTapIn,0.38,0.05680457,-0.1247488, ,0
1,3.38,FastTapIn,0.4,0.005915578,-2.54445, ,0
1,3.4,FastTapIn,0.42,0.05927233,2.667837, ,0
1,3.42,FastTapIn,0.4400001,0.0451128,-0.7079765, ,0
1,3.44,FastTapIn,0.4600001,0.002245436,-2.143368, ,0
1,3.46,FastTapIn,0.4800001,0.04112717,1.944087, ,0
1,3.48,FastTapIn,0.5000001,0.02414138,-0.8492895, ,0
1,3.5,FastTapIn,0.52,0.02403135,-0.005501509, ,0
1,3.52,FastTapIn,0.54,0.02581648,0.08925675, ,0
1,3.54,FastTapIn,0.56,0.004879615,-1.046843, ,0
1,3.56,FastTapIn,0.58,0.01013872,0.2629553, ,0
1,3.58,FastTapIn,0.6,0.002756155,-0.3691284, ,0
1,3.6,FastTapIn,0.6199999,0.04963553,2.343969, ,0
1,3.62,FastTapIn,0.6399999,0.04585115,-0.1892189, ,0
1,3.64,FastTapIn,0.6599999,0.06475603,0.945244, ,0
1,3.66,FastTapIn,0.6799999,0.02241617,-2.116993, ,0
1,3.68,FastTapIn,0.6999999,0.02170281,-0.03566779, ,0
1,3.7,FastTapIn,0.7199998,0.0349814,0.6639293, ,0
1,3.72,FastTapIn,0.7399998,0.01935935,-0.7811027, ,0
1,3.74,FastTapIn,0.7599998,0.03621577,0.8428211, ,0
1,3.76,FastTapIn,0.7799998,0.01698487,-0.9615451, ,0
1,3.78,FastTapIn,0.7999998,0.02731605,0.5165593, ,0
1,3.8,FastTapIn,0.8199998,0.01176775,-0.7774149, ,0
1,3.82,FastTapIn,0.8399997,0.01593807,0.2085158, ,0
1,3.84,FastTapIn,0.8599997,0.02399325,0.4027588, ,0
1,3.86,FastTapIn,0.8799997,0.008515161,-0.7739043, ,0
1,3.88,FastTapIn,0.8999997,0.02853337,1.00091, ,0
1,3.9,FastTapIn,0.9199997,0.02160938,-0.3461996, ,0
