Number,Case,Min,Mean,Max
Execute,1,0.002245436,0.07508172383999999,0.417093
Execute,2,0.002357878,0.07525663616788321,0.4808083
Execute,3,0.005009287,0.0732930065754386,0.4319794
Execute,4,0.004067908,0.07064967487681159,0.4306431
Execute,5,0.0006664452,0.07506275586369862,0.5373675
Execute,6,0.001012238,0.0828709212599278,0.8238277
Execute,7,0.003949195,0.10312711753787879,0.6711919
Execute,8,0.004129041,0.08765641604794522,0.5009351
Execute,9,0.003790759,0.07834065917562723,0.6054914
Execute,10,0.0009525748,0.10118527156059479,1.00571
Execute,11,0.009747988,0.32414314321568627,1.782245
Execute,12,0.008687722,0.2992862147021277,1.730396
Execute,13,0.01122819,0.24648256548387096,0.9156153
Execute,14,0.007332424,0.245726380912,1.811479
Execute,15,0.01652311,0.24458443307692307,1.115412
Execute,16,0.008906988,0.29902989157657667,3.281436
Execute,17,0.01163129,0.3449003681,1.459775
Execute,18,0.02505275,0.2606786292592593,1.201583
Execute,19,0.004904142,0.27977001623157893,0.9681793
Execute,20,0.0178697,0.29898859882352946,1.245222
Execute,21,0.01593684,0.3774549529032257,3.249809
Execute,22,0.0,0.4909913571428571,1.754223
Execute,23,0.02160694,0.47667000850746266,2.54833
Execute,24,0.02018032,0.3488151111764706,2.100071
Execute,25,0.01114191,0.46342313453125006,1.689149
Execute,26,0.0,0.4345526300000001,2.710171
Execute,27,0.05599395,0.5279845532653061,2.039191
Execute,28,0.02276842,0.5281161442105263,2.048321
Execute,29,0.02673818,0.5391767510909092,4.255875
Execute,30,0.01879202,0.4532123797260275,2.432737
Execute,31,0.1015694,0.2627067736842105,0.6447608
Execute,32,0.1832011,0.3487926333333333,0.5696571
Execute,33,0.1869905,0.3102970636363636,0.4804958
Execute,34,0.2201302,0.3867163727272727,0.6271901
Execute,35,0.009271964,0.3221293558181818,0.6784169
Execute,36,0.1835307,0.33438338000000006,0.5831854
Execute,37,0.161845,0.27391670769230764,0.4710072
Execute,38,0.1212174,0.30490575000000003,0.539856
Execute,39,0.1050864,0.20593135,0.3552389
Execute,40,0.1305992,0.2551275214285714,0.430759
