Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,3.72,FastTapIn,0,1.052463,25.54316, ,0
1,3.74,FastTapIn,0.02,0.4055172,-32.34729, ,0
1,3.76,FastTapIn,0.04,0.3977457,-0.3885776, ,0
1,3.78,FastTapIn,0.06,0.3405813,-2.858217, ,0
1,3.8,FastTapIn,0.08,0.09763812,-12.14716, ,0
1,3.82,FastTapIn,0.09999999,0.06935725,-1.414044, ,0
1,3.84,FastTapIn,0.12,0.08574806,0.8195408, ,0
1,3.86,FastTapIn,0.14,0.0425505,-2.159878, ,0
1,3.88,FastTapIn,0.16,0.05247536,0.4962431, ,0
1,3.9,FastTapIn,0.18,0.08390881,1.571673, ,0
1,3.92,FastTapIn,0.2,0.03596737,-2.397072, ,0
1,3.94,FastTapIn,0.22,0.02849174,-0.3737815, ,0
1,3.96,FastTapIn,0.24,0.04253263,0.7020448, ,0
1,3.98,FastTapIn,0.26,0.03889667,-0.1817981, ,0
1,4,FastTapIn,0.28,0.06001269,1.055801, ,0
1,4.02,FastTapIn,0.3,0.02767809,-1.61673, ,0
1,4.04,FastTapIn,0.32,0.0255141,-0.1081996, ,0
1,4.06,FastTapIn,0.34,0.007142586,-0.9185756, ,0
1,4.08,FastTapIn,0.36,0.007979505,0.04184595, ,0
1,4.1,FastTapIn,0.38,0.01690548,0.4462988, ,0
1,4.12,FastTapIn,0.4,0.01389953,-0.1502976, ,0
1,4.14,FastTapIn,0.42,0.04758204,1.684126, ,0
1,4.16,FastTapIn,0.4400001,0.03411034,-0.6735852, ,0
1,4.18,FastTapIn,0.4600001,0.07214797,1.901882, ,0
1,4.2,FastTapIn,0.4800001,0.03479647,-1.867575, ,0
1,4.22,FastTapIn,0.5000001,0.04368476,0.4444149, ,0
1,4.24,FastTapIn,0.52,0.01964977,-1.20175, ,0
1,4.26,FastTapIn,0.54,0.01855605,-0.05468614, ,0
1,4.28,FastTapIn,0.56,0.0440014,1.272268, ,0
1,4.3,FastTapIn,0.58,0.02043958,-1.178091, ,0
1,4.32,FastTapIn,0.6,0.1298839,5.472219, ,0
1,4.34,FastTapIn,0.6199999,0.1190667,-0.5408641, ,0
1,4.36,FastTapIn,0.6399999,0.3214065,10.11699, ,0
1,4.38,FastTapIn,0.6599999,0.2027274,-5.933956, ,0
1,4.4,FastTapIn,0.6799999,0.1940522,-0.4337594, ,0
2,5.14,FastTapIn,0,0.8441062,16.90249, ,0
2,5.16,FastTapIn,0.02,0.3498724,-24.71169, ,0
2,5.18,FastTapIn,0.04,0.1490265,-10.04229, ,0
2,5.2,FastTapIn,0.06,0.3317885,9.138101, ,0
2,5.22,FastTapIn,0.08,0.05464198,-13.85733, ,0
2,5.24,FastTapIn,0.09999999,0.06207551,0.3716765, ,0
2,5.26,FastTapIn,0.12,0.0459155,-0.8080007, ,0
2,5.28,FastTapIn,0.14,0.1418153,4.794992, ,0
2,5.3,FastTapIn,0.16,0.05498857,-4.341339, ,0
2,5.32,FastTapIn,0.18,0.02142645,-1.678106, ,0
2,5.34,FastTapIn,0.2,0.02045031,-0.04880698, ,0
2,5.36,FastTapIn,0.22,0.02185689,0.0703292, ,0
2,5.38,FastTapIn,0.24,0.0430104,1.057676, ,0
2,5.4,FastTapIn,0.26,0.01550122,-1.375459, ,0
2,5.42,FastTapIn,0.28,0.06387755,2.418817, ,0
2,5.44,FastTapIn,0.3,0.04680724,-0.8535154, ,0
2,5.46,FastTapIn,0.32,0.06040944,0.6801103, ,0
2,5.48,FastTapIn,0.34,0.01992311,-2.024317, ,0
2,5.5,FastTapIn,0.36,0.02054151,0.03091991, ,0
2,5.52,FastTapIn,0.38,0.05783731,1.86479, ,0
2,5.54,FastTapIn,0.4,0.05021701,-0.3810149, ,0
2,5.56,FastTapIn,0.42,0.08954274,1.966286, ,0
2,5.58,FastTapIn,0.4400001,0.03679244,-2.637515, ,0
