Number,Case,Velocity
Execute,1,0.04506337
Execute,1,0.04268462
Execute,1,0.008795688
Execute,1,0.02437265
Execute,1,0.01793082
Execute,1,0.01741971
Execute,1,0.02602998
Execute,1,0.01387087
Execute,1,0.02316265
Execute,1,0.01312538
Execute,1,0.02548208
Execute,1,0.01484989
Execute,1,0.02883576
Execute,1,0.03587128
Execute,1,0.02396814
Execute,1,0.02594636
Execute,1,0.008152877
Execute,1,0.02667713
Execute,1,0.02695399
Execute,1,0.04194478
Execute,1,0.04360013
Execute,1,0.0306547
Execute,1,0.02088181
Execute,1,0.03824392
Execute,1,0.01892774
Execute,1,0.03714009
Execute,1,0.01928521
Execute,1,0.02483057
Execute,1,0.02964978
Execute,1,0.00776867
Execute,1,0.02675818
Execute,1,0.01918846
Execute,1,0.02613097
Execute,1,0.02479264
Execute,1,0.03807453
Execute,1,0.02038273
Execute,1,0.01108107
Execute,1,0.02646206
Execute,1,0.04491476
Execute,1,0.01686291
Execute,1,0.02674655
Execute,1,0.01104099
Execute,1,0.006268331
Execute,1,0.01115815
Execute,1,0.01051659
Execute,1,0.02228447
Execute,1,0.01728441
Execute,1,0.0270305
Execute,1,0.01086704
Execute,1,0.02909708
Execute,1,0.041518
Execute,1,0.01425047
Execute,1,0.03997958
Execute,1,0.02565466
Execute,1,0.02807642
Execute,1,0.007996177
Execute,1,0.01513254
Execute,1,0.01458731
Execute,1,0.01442959
Execute,1,0.01941377
Execute,1,0.008273129
Execute,1,0.01607588
Execute,1,0.01728504
Execute,1,0.009200634
Execute,1,0.01613411
Execute,1,0.01381828
Execute,1,0.02054506
Execute,1,0.02515461
Execute,1,0.03039196
Execute,1,0.008133128
Execute,1,0.02930409
Execute,1,0.008325577
Execute,1,0.01910192
Execute,1,0.02110373
Execute,1,0.003993416
Execute,1,0.03391025
Execute,1,0.0130637
Execute,1,0.02708784
Execute,1,0.01558979
Execute,1,0.04621332
Execute,1,0.02176465
Execute,1,0.01449364
Execute,1,0.007155308
Execute,1,0.009354843
Execute,1,0.01013015
Execute,1,0.00545647
Execute,1,0.03002839
Execute,1,0.01087454
Execute,1,0.00938648
Execute,1,0.01694823
Execute,1,0.01314843
Execute,1,0.01803711
Execute,1,0.01330467
Execute,1,0.02299383
Execute,1,0.00808494
Execute,1,0.006696402
Execute,1,0.02825435
Execute,1,0.005709509
Execute,1,0.009209682
Execute,1,0.004286276
Execute,1,0.02495005
Execute,1,0.02380032
Execute,1,0.008041355
Execute,1,0.004070258
Execute,1,0.003808009
Execute,1,0.002774276
Execute,1,0.003853938
Execute,1,0.00934873
Execute,1,0.007069516
Execute,1,0.02306148
Execute,1,0.006965056
Execute,1,0.007148383
Execute,1,0.005317988
Execute,1,0.003095836
Execute,1,0.008151114
Execute,1,0.0115831
Execute,1,0.02089117
Execute,1,0.01886627
Execute,1,0.006557944
Execute,1,0.02565274
Execute,1,0.007522628
Execute,1,0.0124076
Execute,1,0.006450496
Execute,1,0.008728807
Execute,1,0.008368116
Execute,1,0.04049959
Execute,1,0.02147703
Execute,1,0.02491147
Execute,1,0.02003079
Execute,1,0.002391151
Execute,1,0.02963071
Execute,1,0.004877977
Execute,1,0.02029448
Execute,1,0.01367367
Execute,1,0.01134195
Execute,1,0.02089671
Execute,1,0.009438301
Execute,1,0.005801673
Execute,1,0.01011836
Execute,1,0.01750891
Execute,1,0.008650851
Execute,1,0.01958572
Execute,1,0.01356452
Execute,1,0.02451088
Execute,1,0.006985069
Execute,1,0.005436984
Execute,1,0.01112531
Execute,1,0.01984512
Execute,1,0.02149818
Execute,1,0.01392837
Execute,1,0.01344391
Execute,1,0.02286204
Execute,1,0.006374611
Execute,1,0.01038709
Execute,1,0.005849947
Execute,1,0.01238644
Execute,1,0.007821233
Execute,1,0.008440495
Execute,1,0.01554398
Execute,1,0.006291485
Execute,1,0.01245741
Execute,1,0.01158313
Execute,1,0.01946601
Execute,1,0.009666538
Execute,1,0.01088527
Execute,1,0.007241955
Execute,1,0.007610667
Execute,1,0.0213929
Execute,1,0.01605308
Execute,1,0.02138903
Execute,1,0.01762318
Execute,1,0.0238175
Execute,1,0.02148913
Execute,1,0.01830268
Execute,1,0.01481056
Execute,1,0.01286371
Execute,1,0.0218774
Execute,1,0.0243812
Execute,1,0.02800009
Execute,1,0.01151942
Execute,1,0.02190347
Execute,1,0.01013369
Execute,1,0.009154143
Execute,1,0.02210665
Execute,1,0.01522393
Execute,1,0.01552713
Execute,1,0.007695507
Execute,1,0.0065069
Execute,1,0.005969817
Execute,1,0.0128255
Execute,1,0.02060496
Execute,1,0.01076079
Execute,1,0.0184179
Execute,1,0.0107641
Execute,1,0.0129798
Execute,1,0.02722661
Execute,1,0.008959473
Execute,1,0.009324381
Execute,1,0.02773081
Execute,1,0.0135943
Execute,1,0.02842803
Execute,1,0.007440923
Execute,1,0.01257991
Execute,1,0.01764506
Execute,1,0.01596617
Execute,1,0.02226132
Execute,1,0.01205308
Execute,1,0.02136348
Execute,1,0.00723675
Execute,1,0.01492993
Execute,1,0.008997599
Execute,1,0.01948343
Execute,1,0.03459185
Execute,1,0.01174555
Execute,1,0.01862674
Execute,1,0.01367897
Execute,1,0.01425968
Execute,1,0.006096399
Execute,1,0.01095088
Execute,1,0.01492545
Execute,1,0.004016967
Execute,1,0.004402468
Execute,1,0.01051083
Execute,1,0.0375503
Execute,1,0.01055851
Execute,1,0.02530704
Execute,1,0.0428394
Execute,1,0.01916269
Execute,1,0.0143263
Execute,1,0.0250331
Execute,1,0.04226082
Execute,1,0.007812343
Execute,1,0.005646713
Execute,1,0.007650095
Execute,1,0.02221575
Execute,1,0.02862309
Execute,1,0.01062808
Execute,1,0.009341599
Execute,1,0.02697561
Execute,1,0.01550784
Execute,1,0.01318182
Execute,1,0.006826703
Execute,1,0.01923179
Execute,1,0.008457057
Execute,1,0.006592889
Execute,1,0.01074924
Execute,1,0.01467741
Execute,1,0.01601656
Execute,1,0.008202413
Execute,1,0.01517355
Execute,1,0.01528851
Execute,1,0.008818657
Execute,1,0.03379092
Execute,1,0.01618498
Execute,1,0.01800279
Execute,1,0.005338671
Execute,1,0.009035489
Execute,1,0.00573977
Execute,1,0.005033764
Execute,1,0.02138572
Execute,1,0.03510761
Execute,2,0.02244185
Execute,2,0.01558728
Execute,2,0.02251025
Execute,2,0.00800613
Execute,2,0.01592263
Execute,2,0.01077669
Execute,2,0.03840159
Execute,2,0.01967033
Execute,2,0.01118599
Execute,2,0.02223752
Execute,2,0.01752005
Execute,2,0.02203045
Execute,2,0.009057835
Execute,2,0.04261734
Execute,2,0.02086832
Execute,2,0.01888194
Execute,2,0.01767178
Execute,2,0.009273626
Execute,2,0.0159584
Execute,2,0.01153303
Execute,2,0.0212005
Execute,2,0.01088622
Execute,2,0.01000523
Execute,2,0.03654905
Execute,2,0.01251834
Execute,2,0.0241858
Execute,2,0.006559085
Execute,2,0.01709138
Execute,2,0.0146013
Execute,2,0.03111014
Execute,2,0.01479052
Execute,2,0.01067909
Execute,2,0.01756082
Execute,2,0.02490881
Execute,2,0.02134232
Execute,2,0.01590157
Execute,2,0.02999645
Execute,2,0.0284582
Execute,2,0.01967083
Execute,2,0.007999113
Execute,2,0.02940912
Execute,2,0.005599614
Execute,2,0.01584903
Execute,2,0.000773221
Execute,2,0.007773432
Execute,2,0.02509478
Execute,2,0.01173982
Execute,2,0.02954406
Execute,2,0.01257956
Execute,2,0.01577566
Execute,2,0.003596629
Execute,2,0.003815491
Execute,2,0.01417309
Execute,2,0.01806364
Execute,2,0.02322056
Execute,2,0.00863543
Execute,2,0.02065434
Execute,2,0.01489835
Execute,2,0.02784511
Execute,2,0.0100757
Execute,2,0.01344152
Execute,2,0.00600078
Execute,2,0.007750717
Execute,2,0.003854614
Execute,2,0.03895776
Execute,2,0.02862365
Execute,2,0.02593938
Execute,2,0.01894487
Execute,2,0.01222087
Execute,2,0.01779794
Execute,2,0.01094387
Execute,2,0.01933227
Execute,2,0.00654427
Execute,2,0.006509415
Execute,2,0.01529695
Execute,2,0.01566838
Execute,2,0.02960198
Execute,2,0.01264812
Execute,2,0.01535838
Execute,2,0.007222156
Execute,2,0.02660558
Execute,2,0.01355741
Execute,2,0.01186575
Execute,2,0.02236157
Execute,2,0.02519805
Execute,2,0.04370759
Execute,2,0.01294012
Execute,2,0.006697301
Execute,2,0.01764641
