Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
1,8,FastTapIn,0,0.6641101,-39.68886, ,0
1,8.02,FastTapIn,0.02,0.6399046,-1.210272, ,0
1,8.04,FastTapIn,0.04,0.9373448,14.87201, ,0
1,8.059999,FastTapIn,0.06,0.366853,-28.52459, ,0
1,8.08,FastTapIn,0.08,0.1978775,-8.448774, ,0
1,8.099999,FastTapIn,0.09999999,0.1584587,-1.970942, ,0
1,8.12,FastTapIn,0.12,0.3410424,9.129187, ,0
1,8.139999,FastTapIn,0.14,0.1208892,-11.00766, ,0
1,8.16,FastTapIn,0.16,0.1786984,2.89046, ,0
1,8.179999,FastTapIn,0.18,0.0578419,-6.042825, ,0
1,8.2,FastTapIn,0.2,0.1176388,2.989846, ,0
1,8.22,FastTapIn,0.22,0.05882797,-2.940542, ,0
1,8.24,FastTapIn,0.24,0.02811552,-1.535622, ,0
1,8.26,FastTapIn,0.26,0.06300107,1.744277, ,0
1,8.28,FastTapIn,0.28,0.03674152,-1.312977, ,0
1,8.3,FastTapIn,0.3,0.08232241,2.279045, ,0
1,8.32,FastTapIn,0.32,0.04721916,-1.755163, ,0
1,8.34,FastTapIn,0.34,0.08234553,1.756319, ,0
1,8.36,FastTapIn,0.36,0.0548767,-1.373441, ,0
1,8.38,FastTapIn,0.38,0.05301499,-0.09308588, ,0
1,8.4,FastTapIn,0.4,0.09288765,1.993633, ,0
1,8.42,FastTapIn,0.42,0.0410498,-2.591892, ,0
1,8.44,FastTapIn,0.4400001,0.01930188,-1.087396, ,0
1,8.46,FastTapIn,0.4600001,0.01357719,-0.2862345, ,0
1,8.48,FastTapIn,0.4800001,0.02471075,0.5566779, ,0
1,8.5,FastTapIn,0.5000001,0.03432998,0.4809615, ,0
1,8.52,FastTapIn,0.52,0.06923044,1.745023, ,0
1,8.54,FastTapIn,0.54,0.03728592,-1.597226, ,0
1,8.559999,FastTapIn,0.56,0.01617536,-1.055528, ,0
1,8.58,FastTapIn,0.58,0.02857242,0.619853, ,0
1,8.599999,FastTapIn,0.6,0.01397769,-0.7297367, ,0
1,8.62,FastTapIn,0.6199999,0.04948734,1.775483, ,0
1,8.639999,FastTapIn,0.6399999,0.03392,-0.778367, ,0
1,8.66,FastTapIn,0.6599999,0.05362313,0.9851564, ,0
1,8.679999,FastTapIn,0.6799999,0.02426813,-1.46775, ,0
1,8.7,FastTapIn,0.6999999,0.01485946,-0.4704336, ,0
1,8.72,FastTapIn,0.7199998,0.02045094,0.2795741, ,0
1,8.74,FastTapIn,0.7399998,0.032961,0.6255029, ,0
1,8.76,FastTapIn,0.7599998,0.03739017,0.2214584, ,0
1,8.78,FastTapIn,0.7799998,0.02208223,-0.7653968, ,0
1,8.8,FastTapIn,0.7999998,0.06591129,2.191453, ,0
1,8.82,FastTapIn,0.8199998,0.06397714,-0.09670742, ,0
1,8.84,FastTapIn,0.8399997,0.05399574,-0.4990703, ,0
1,8.86,FastTapIn,0.8599997,0.02419221,-1.490177, ,0
1,8.88,FastTapIn,0.8799997,0.0225709,-0.08106548, ,0
1,8.9,FastTapIn,0.8999997,0.0360517,0.67404, ,0
1,8.92,FastTapIn,0.9199997,0.02608776,-0.4981971, ,0
1,8.94,FastTapIn,0.9399996,0.02071333,-0.2687211, ,0
1,8.96,FastTapIn,0.9599996,0.07588302,2.758485, ,0
1,8.98,FastTapIn,0.9799996,0.03440921,-2.07369, ,0
1,9,FastTapIn,0.9999996,0.008375134,-1.301704, ,0
1,9.02,FastTapIn,1.02,0.007383577,-0.04957787, ,0
1,9.04,FastTapIn,1.04,0.03489025,1.375334, ,0
1,9.059999,FastTapIn,1.06,0.03623277,0.06712619, ,0
1,9.08,FastTapIn,1.08,0.05899395,1.138059, ,0
1,9.099999,FastTapIn,1.1,0.04256308,-0.8215439, ,0
1,9.12,FastTapIn,1.12,0.07763758,1.753725, ,0
1,9.139999,FastTapIn,1.14,0.03304334,-2.229712, ,0
1,9.16,FastTapIn,1.159999,0.03115087,-0.09462386, ,0
1,9.179999,FastTapIn,1.179999,0.09945838,3.415376, ,0
1,9.2,FastTapIn,1.199999,0.01465862,-4.239988, ,0
1,9.22,FastTapIn,1.219999,0.02850422,0.6922797, ,0
1,9.24,FastTapIn,1.239999,0.01289278,-0.7805718, ,0
1,9.26,FastTapIn,1.259999,0.01572609,0.1416653, ,0
1,9.28,FastTapIn,1.279999,0.01444855,-0.06387695, ,0
1,9.3,FastTapIn,1.299999,0.02101667,0.3284059, ,0
1,9.32,FastTapIn,1.319999,0.03990021,0.9441772, ,0
1,9.34,FastTapIn,1.339999,0.02830495,-0.5797628, ,0
1,9.36,FastTapIn,1.359999,0.0486551,1.017507, ,0
1,9.38,FastTapIn,1.379999,0.02119048,-1.373231, ,0
1,9.4,FastTapIn,1.399999,0.06233482,2.057217, ,0
1,9.42,FastTapIn,1.419999,0.03014228,-1.609627, ,0
1,9.44,FastTapIn,1.439999,0.05755954,1.370863, ,0
1,9.46,FastTapIn,1.459999,0.01417999,-2.168977, ,0
1,9.48,FastTapIn,1.479999,0.01484129,0.03306465, ,0
1,9.5,FastTapIn,1.499999,0.03454186,0.9850289, ,0
1,9.52,FastTapIn,1.519999,0.02054372,-0.6999074, ,0
1,9.54,FastTapIn,1.539999,0.02685742,0.315685, ,0
1,9.559999,FastTapIn,1.559999,0.05184321,1.24929, ,0
1,9.58,FastTapIn,1.579999,0.09700716,2.258198, ,0
1,9.599999,FastTapIn,1.599999,0.03550466,-3.075125, ,0
1,9.62,FastTapIn,1.619999,0.03330974,-0.1097461, ,0
1,9.639999,FastTapIn,1.639999,0.1029875,3.48389, ,0
1,9.66,FastTapIn,1.659999,0.03655326,-3.321714, ,0
1,9.679999,FastTapIn,1.679999,0.06511652,1.428163, ,0
1,9.7,FastTapIn,1.699999,0.01662522,-2.424565, ,0
1,9.719999,FastTapIn,1.719999,0.05148048,1.742763, ,0
1,9.74,FastTapIn,1.739999,0.03434068,-0.85699, ,0
1,9.76,FastTapIn,1.759999,0.09995937,3.280934, ,0
1,9.78,FastTapIn,1.779999,0.05019259,-2.488339, ,0
1,9.8,FastTapIn,1.799999,0.04860243,-0.07950813, ,0
1,9.82,FastTapIn,1.819999,0.05592057,0.3659072, ,0
1,9.84,FastTapIn,1.839999,0.02462453,-1.564802, ,0
1,9.86,FastTapIn,1.859999,0.04449257,0.9934018, ,0
1,9.88,FastTapIn,1.879999,0.01356927,-1.546165, ,0
1,9.9,FastTapIn,1.899999,0.04185047,1.41406, ,0
1,9.92,FastTapIn,1.919999,0.1028566,3.050307, ,0
